"",BBK01.OEAA15R,BBK01.OEAA15R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:37,
2002-01,15.582,
2002-04,15.627,
2002-07,15.742,
2002-10,16.027,
2003-01,16.163,
2003-04,16.144,
2003-07,16.149,
2003-10,16.126,
2004-01,16.154,
2004-04,16.116,
2004-07,16.083,
2004-10,16.098,
2005-01,16.829,
2005-04,16.776,
2005-07,16.785,
2005-10,16.683,
2006-01,16.657,
2006-04,16.803,
2006-07,16.899,
2006-10,16.927,
2007-01,16.402,
2007-04,16.088,
2007-07,16.068,
2007-10,16.278,
2008-01,19.390,
2008-04,16.434,
2008-07,16.746,
2008-10,16.899,
2009-01,16.794,
2009-04,17.327,
2009-07,17.437,
2009-10,17.772,
2010-01,17.992,
2010-04,18.171,
2010-07,18.438,
2010-10,18.704,
2011-01,18.819,
2011-04,18.921,
2011-07,19.088,
2011-10,19.475,
2012-01,19.618,
2012-04,20.265,
2012-07,20.621,
2012-10,20.964,
2013-01,20.992,
2013-04,21.234,
2013-07,21.489,
2013-10,21.783,
2014-01,21.948,
2014-04,21.975,
2014-07,22.153,
