"",BBK01.OEAN07V,BBK01.OEAN07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:24,
2002-01,0.084,
2002-04,0.082,
2002-07,0.081,
2002-10,0.080,
2003-01,0.079,
2003-04,0.075,
2003-07,0.073,
2003-10,0.070,
2004-01,0.060,
2004-04,0.057,
2004-07,0.057,
2004-10,0.058,
2005-01,0.054,
2005-04,0.058,
2005-07,0.057,
2005-10,0.059,
2006-01,0.067,
2006-04,0.062,
2006-07,0.062,
2006-10,0.066,
2007-01,0.069,
2007-04,0.067,
2007-07,0.069,
2007-10,0.074,
2008-01,0.081,
2008-04,0.080,
2008-07,0.083,
2008-10,0.089,
2009-01,0.086,
2009-04,0.082,
2009-07,0.083,
2009-10,0.085,
2010-01,0.086,
2010-04,0.088,
2010-07,0.092,
2010-10,0.085,
2011-01,0.083,
2011-04,0.083,
2011-07,0.081,
2011-10,0.086,
2012-01,0.084,
2012-04,0.081,
2012-07,0.081,
2012-10,0.084,
2013-01,0.082,
2013-04,0.083,
2013-07,0.085,
2013-10,0.087,
2014-01,0.081,
2014-04,0.081,
2014-07,0.081,
