"",BBK01.CEFK0L,BBK01.CEFK0L_FLAGS
"",Other equity  debtor: Total                    creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:00,
1999-01,1.2,
1999-04,1.2,
1999-07,1.2,
1999-10,1.3,
2000-01,1.3,
2000-04,1.4,
2000-07,1.5,
2000-10,0.3,
2001-01,0.3,
2001-04,0.3,
2001-07,0.3,
2001-10,0.2,
2002-01,0.3,
2002-04,0.3,
2002-07,0.3,
2002-10,0.3,
2003-01,0.3,
2003-04,0.3,
2003-07,0.3,
2003-10,0.3,
2004-01,0.3,
2004-04,0.3,
2004-07,0.3,
2004-10,0.3,
2005-01,0.3,
2005-04,0.3,
2005-07,0.3,
2005-10,2.9,
2006-01,3.0,
2006-04,3.2,
2006-07,3.3,
2006-10,3.7,
2007-01,3.9,
2007-04,4.2,
2007-07,4.3,
2007-10,4.9,
2008-01,5.1,
2008-04,5.3,
2008-07,5.5,
2008-10,5.7,
2009-01,5.8,
2009-04,5.9,
2009-07,5.6,
2009-10,5.7,
2010-01,5.8,
2010-04,5.8,
2010-07,5.9,
2010-10,6.2,
2011-01,6.3,
2011-04,6.4,
2011-07,6.4,
2011-10,7.1,
2012-01,7.4,
2012-04,7.2,
2012-07,7.3,
2012-10,8.3,
2013-01,8.4,
2013-04,8.4,
2013-07,8.3,
2013-10,8.4,
2014-01,8.6,
2014-04,8.9,
2014-07,9.0,
