"",BBEX3.M.TOP.USD.CM.AA.A01,BBEX3.M.TOP.USD.CM.AA.A01_FLAGS
2006-03,0.5016,
2006-04,0.5122,
2006-05,0.5091,
2006-06,0.4983,
2006-07,0.5080,
2006-08,0.5219,
2006-09,0.5109,
2006-10,0.5147,
2006-11,0.5158,
2006-12,0.5160,
2007-01,0.5081,
2007-02,0.5149,
2007-03,0.5192,
2007-04,0.5240,
2007-05,0.5198,
2007-06,0.5304,
2007-07,0.5269,
2007-08,0.5121,
2007-09,0.5277,
2007-10,0.5379,
2007-11,0.5386,
2007-12,0.5470,
2008-01,0.5527,
2008-02,0.5688,
2008-03,0.5625,
2008-04,0.5587,
2008-05,0.5623,
2008-06,0.5589,
2008-07,0.5489,
2008-08,0.5311,
2008-09,0.5208,
2008-10,0.4825,
2008-11,0.4932,
2008-12,0.5030,
2009-01,0.4852,
2009-02,0.4800,
2009-03,0.4961,
2009-04,0.5047,
2009-05,0.5249,
2009-06,0.5337,
2009-07,0.5380,
2009-08,0.5452,
2009-09,0.5557,
2009-10,0.5657,
2009-11,0.5615,
2009-12,0.5595,
2010-01,0.5582,
2010-02,0.5508,
2010-03,0.5320,
2010-04,0.5255,
2010-05,0.5185,
2010-06,0.5469,
2010-07,0.5528,
2010-08,0.5246,
2010-09,0.5403,
2010-10,0.5738,
2010-11,0.5775,
2010-12,0.5881,
2011-01,0.5889,
2011-02,0.5877,
2011-03,0.5912,
2011-04,0.6106,
2011-05,0.6215,
2011-06,0.6019,
2011-07,0.6732,
2011-08,0.5907,
2011-09,0.6269,
2011-10,0.6144,
2011-11,0.6147,
2011-12,0.6173,
2012-01,0.6042,
2012-02,0.6376,
2012-03,0.6235,
2012-04,0.6254,
2012-05,0.5722,
2012-06,0.5813,
2012-07,0.6214,
2012-08,0.6142,
2012-09,0.6224,
2012-10,0.5910,
2012-11,0.5904,
2012-12,0.5859,
2013-01,0.5903,
2013-02,0.5864,
2013-03,0.5911,
2013-04,0.5934,
2013-05,0.5724,
2013-06,0.5595,
2013-07,0.5618,
2013-08,0.5517,
2013-09,0.5672,
2013-10,0.5688,
2013-11,0.5582,
2013-12,0.5533,
2014-01,0.5498,
2014-02,0.5564,
2014-03,0.5655,
2014-04,0.5638,
2014-05,0.5608,
2014-06,0.5687,
2014-07,0.5654,
2014-08,0.5576,
2014-09,0.5383,
2014-10,0.5347,
2014-11,0.5296,
2014-12,0.5249,
"","General: From 1999 to 2005 and since January 2015, only middle rates were reported; see BBEX3:M:TOP:USD:CM:AC:A01.",
"","Source: August 2006 - December 2014 Westpac Bank of Tonga, Nuku'alofa January 2006 - July 2006 Australia and New Zealand Banking Group (ANZ), Nuku'alofa 1991 - 1998 Bank of Tonga, Nuku'alofa",
