"",BBK01.CEFI0J,BBK01.CEFI0J_FLAGS
"",Listed shares               debtor: Total                              creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:12,
1999-01,224.1,
1999-04,218.6,
1999-07,196.3,
1999-10,267.6,
2000-01,283.1,
2000-04,267.7,
2000-07,256.8,
2000-10,250.8,
2001-01,224.8,
2001-04,215.0,
2001-07,174.3,
2001-10,202.3,
2002-01,200.2,
2002-04,167.4,
2002-07,95.8,
2002-10,111.4,
2003-01,89.4,
2003-04,105.4,
2003-07,105.8,
2003-10,143.2,
2004-01,138.6,
2004-04,141.8,
2004-07,136.0,
2004-10,153.5,
2005-01,158.8,
2005-04,164.0,
2005-07,173.4,
2005-10,182.6,
2006-01,197.7,
2006-04,178.6,
2006-07,184.9,
2006-10,192.8,
2007-01,196.0,
2007-04,206.2,
2007-07,196.6,
2007-10,192.9,
2008-01,161.6,
2008-04,157.7,
2008-07,139.4,
2008-10,121.7,
2009-01,108.2,
2009-04,127.3,
2009-07,152.0,
2009-10,158.4,
2010-01,168.5,
2010-04,162.0,
2010-07,169.6,
2010-10,190.8,
2011-01,194.0,
2011-04,195.7,
2011-07,155.2,
2011-10,166.4,
2012-01,188.5,
2012-04,170.2,
2012-07,184.5,
2012-10,191.1,
2013-01,200.4,
2013-04,197.8,
2013-07,209.1,
2013-10,223.1,
2014-01,228.4,
2014-04,232.1,
2014-07,226.2,
