"",BBK01.OEAI08Q,BBK01.OEAI08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:54,
2002-01,11.986,
2002-04,11.720,
2002-07,11.660,
2002-10,12.008,
2003-01,12.140,
2003-04,12.092,
2003-07,12.263,
2003-10,12.375,
2004-01,12.295,
2004-04,12.041,
2004-07,12.063,
2004-10,12.157,
2005-01,13.681,
2005-04,13.552,
2005-07,13.551,
2005-10,13.674,
2006-01,13.634,
2006-04,13.500,
2006-07,13.221,
2006-10,13.031,
2007-01,12.777,
2007-04,12.410,
2007-07,12.103,
2007-10,12.073,
2008-01,11.900,
2008-04,11.724,
2008-07,11.447,
2008-10,11.687,
2009-01,12.226,
2009-04,12.639,
2009-07,12.993,
2009-10,13.558,
2010-01,13.954,
2010-04,14.041,
2010-07,14.283,
2010-10,14.605,
2011-01,14.694,
2011-04,14.494,
2011-07,14.442,
2011-10,14.646,
2012-01,14.905,
2012-04,14.900,
2012-07,14.953,
2012-10,15.318,
2013-01,15.407,
2013-04,15.532,
2013-07,15.540,
2013-10,15.668,
2014-01,15.665,
2014-04,15.498,
2014-07,15.417,
