"",BBK01.OEAB17P,BBK01.OEAB17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:56,
2002-01,10.315,
2002-04,10.393,
2002-07,10.448,
2002-10,10.567,
2003-01,10.746,
2003-04,10.828,
2003-07,10.873,
2003-10,10.865,
2004-01,10.899,
2004-04,11.049,
2004-07,11.166,
2004-10,11.122,
2005-01,11.244,
2005-04,11.277,
2005-07,11.399,
2005-10,11.424,
2006-01,11.472,
2006-04,11.553,
2006-07,11.633,
2006-10,11.653,
2007-01,11.656,
2007-04,11.692,
2007-07,11.783,
2007-10,11.823,
2008-01,11.767,
2008-04,11.734,
2008-07,11.723,
2008-10,11.644,
2009-01,11.591,
2009-04,11.911,
2009-07,11.870,
2009-10,11.827,
2010-01,11.758,
2010-04,11.808,
2010-07,11.850,
2010-10,11.872,
2011-01,11.941,
2011-04,12.031,
2011-07,12.139,
2011-10,12.164,
2012-01,12.181,
2012-04,12.340,
2012-07,12.411,
2012-10,12.436,
2013-01,12.510,
2013-04,12.540,
2013-07,12.575,
2013-10,12.559,
2014-01,12.518,
2014-04,12.569,
2014-07,12.618,
