"",BBK01.OEAE22Q,BBK01.OEAE22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:26,
2002-01,0.674,
2002-04,0.655,
2002-07,0.676,
2002-10,0.693,
2003-01,0.665,
2003-04,0.569,
2003-07,0.569,
2003-10,0.579,
2004-01,0.504,
2004-04,0.318,
2004-07,0.331,
2004-10,0.309,
2005-01,0.353,
2005-04,0.364,
2005-07,0.377,
2005-10,0.303,
2006-01,0.323,
2006-04,0.348,
2006-07,0.335,
2006-10,0.381,
2007-01,0.332,
2007-04,0.318,
2007-07,0.363,
2007-10,0.334,
2008-01,0.365,
2008-04,0.347,
2008-07,0.284,
2008-10,0.296,
2009-01,0.220,
2009-04,0.179,
2009-07,0.184,
2009-10,0.185,
2010-01,0.298,
2010-04,0.299,
2010-07,0.269,
2010-10,0.238,
2011-01,0.239,
2011-04,0.260,
2011-07,0.167,
2011-10,0.149,
2012-01,0.150,
2012-04,0.176,
2012-07,0.173,
2012-10,0.217,
2013-01,0.223,
2013-04,0.220,
2013-07,0.206,
2013-10,0.444,
2014-01,0.306,
2014-04,0.301,
2014-07,0.313,
