"",BBEX3.M.EEK.USD.CA.AC.A01,BBEX3.M.EEK.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Estonia / USD 1 = EEK ... (middle),
unit,EEK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:10,
1992-06,12.15600,
1992-07,11.89840,
1992-08,11.25360,
1992-09,11.40160,
1992-10,12.32160,
1992-11,12.82960,
1992-12,12.91200,
1993-01,12.61040,
1993-02,13.03200,
1993-03,13.03760,
1993-04,12.64640,
1993-05,12.75200,
1993-06,13.59760,
1993-07,13.76400,
1993-08,13.34400,
1993-09,12.87360,
1993-10,13.43600,
1993-11,13.67360,
1993-12,13.87760,
1994-01,13.91920,
1994-02,13.71200,
1994-03,13.35840,
1994-04,13.31120,
1994-05,13.12960,
1994-06,12.76160,
1994-07,12.74320,
1994-08,12.62000,
1994-09,12.38000,
1994-10,12.09040,
1994-11,12.56400,
1994-12,12.39040,
1995-01,12.04800,
1995-02,11.72240,
1995-03,11.05800,
1995-04,11.00880,
1995-05,11.11440,
1995-06,11.08160,
1995-07,11.05120,
1995-08,11.75600,
1995-09,11.34000,
1995-10,11.28560,
1995-11,11.48960,
1995-12,11.46240,
1996-01,11.93440,
1996-02,11.73200,
1996-03,11.80920,
1996-04,12.20960,
1996-05,12.27640,
1996-06,12.18600,
1996-07,11.74000,
1996-08,11.83360,
1996-09,12.21040,
1996-10,12.09240,
1996-11,12.27720,
1996-12,12.43560,
1997-01,13.10120,
1997-02,13.53000,
1997-03,13.43440,
1997-04,13.81400,
1997-05,13.59640,
1997-06,13.91320,
1997-07,14.66480,
1997-08,14.36200,
1997-09,14.17360,
1997-10,13.83040,
1997-11,14.12920,
1997-12,14.33560,
1998-01,14.63920,
1998-02,14.49000,
1998-03,14.79040,
1998-04,14.35000,
1998-05,14.27000,
1998-06,14.45880,
1998-07,14.24960,
1998-08,14.13720,
1998-09,13.39800,
1998-10,13.23240,
1998-11,13.66200,
1998-12,13.41040,
1999-01,13.72031,
1999-02,14.19711,
1999-03,14.58690,
1999-04,14.74290,
1999-05,14.95569,
1999-06,15.15780,
1999-07,14.61961,
1999-08,14.84853,
1999-09,14.64698,
1999-10,14.92003,
1999-11,15.48329,
1999-12,15.57655,
2000-01,15.95945,
2000-02,16.02647,
2000-03,16.36421,
2000-04,17.25669,
2000-05,16.81440,
2000-06,16.34029,
2000-07,16.92169,
2000-08,17.47349,
2000-09,17.78229,
2000-10,18.64582,
2000-11,18.01260,
2000-12,16.84245,
2001-01,16.80627,
2001-02,16.98414,
2001-03,17.77018,
2001-04,17.59137,
2001-05,18.42515,
2001-06,18.47301,
2001-07,17.86044,
2001-08,17.06844,
2001-09,17.05635,
2001-10,17.29197,
2001-11,17.65688,
2001-12,17.69182,
2002-01,18.13683,
2002-02,18.07293,
2002-03,17.94751,
2002-04,17.33796,
2002-05,16.68619,
2002-06,15.77760,
2002-07,15.97574,
2002-08,15.88089,
2002-09,15.91319,
2002-10,15.85594,
2002-11,15.75139,
2002-12,14.93642,
2003-01,14.46420,
2003-02,14.55163,
2003-03,14.39102,
2003-04,14.05114,
2003-05,13.22624,
2003-06,13.68611,
2003-07,13.80688,
2003-08,14.34090,
2003-09,13.41275,
2003-10,13.44791,
2003-11,13.05465,
2003-12,12.40960,
2004-01,12.64631,
2004-02,12.63252,
2004-03,12.79837,
2004-04,13.08576,
2004-05,12.79620,
2004-06,12.90070,
2004-07,12.97940,
2004-08,12.95520,
2004-09,12.70270,
2004-10,12.26800,
2004-11,11.79850,
2004-12,11.47110,
2005-01,12.04420,
2005-02,11.80030,
2005-03,12.08230,
2005-04,12.06970,
2005-05,12.63200,
2005-06,12.95200,
2005-07,12.93750,
2005-08,12.81250,
2005-09,13.01440,
2005-10,12.96480,
2005-11,13.28010,
2005-12,13.22060,
2006-01,12.93160,
2006-02,13.17770,
2006-03,12.91610,
2006-04,12.45900,
2006-05,12.15790,
2006-06,12.31050,
2006-07,12.27090,
2006-08,12.18160,
2006-09,12.34250,
2006-10,12.32940,
2006-11,11.85210,
2006-12,11.88180,
2007-01,12.09770,
2007-02,11.86740,
2007-03,11.75240,
2007-04,11.50870,
2007-05,11.63920,
2007-06,11.62320,
2007-07,11.41380,
2007-08,11.45390,
2007-09,11.03310,
2007-10,10.84310,
2007-11,10.60210,
2007-12,10.63820,
2008-01,10.54250,
2008-02,10.29350,
2008-03,9.88727,
2008-04,10.06890,
2008-05,10.10470,
2008-06,9.88696,
2008-07,10.02090,
2008-08,10.62950,
2008-09,10.88380,
2008-10,12.26800,
2008-11,12.16360,
2008-12,11.10520,
2009-01,12.18200,
2009-02,12.35370,
2009-03,11.79050,
2009-04,11.73220,
2009-05,11.16060,
2009-06,11.09960,
2009-07,11.10590,
2009-08,10.95090,
2009-09,10.69380,
2009-10,10.54710,
2009-11,10.40090,
2009-12,10.86530,
2010-01,11.20500,
2010-02,11.50870,
2010-03,11.62930,
2010-04,11.75070,
2010-05,12.71930,
2010-06,12.80930,
2010-07,11.99250,
2010-08,12.33720,
2010-09,11.47870,
2010-10,11.31560,
2010-11,12.02710,
2010-12,11.71070,
"","General: With effect from 20 June 1992, the Estonian kroon (EEK) was introduced as the sole legal tender in Estonia. The currency conversion generally took place at a rate of 10 rouble (RUR) = EEK 1; however amounts of cash greater than RUR 1,500 were converted at a rate of RUR 50 = EEK 1. The Estonian kroon was pegged to the Deutsche Mark at a rate of DEM1 = EEK 8 and to the euro at a rate of EUR 1 = EEK 15.6466.  Accession to the European Monetary Union on 1 January 2011; irrevocable euro conversion rate: EUR 1 = EEK 15.6466.",
"","Source: Eesti Pank, Tallinn.",
