"",BBFB1.Q.N.DE.TR.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:59,
1991-01,-167.480,
1991-04,-230.688,
1991-07,-426.381,
1991-10,-204.345,
1992-01,-202.222,
1992-04,-287.113,
1992-07,-486.014,
1992-10,-327.888,
1993-01,-173.302,
1993-04,-267.259,
1993-07,-507.295,
1993-10,-250.053,
1994-01,-203.420,
1994-04,-298.564,
1994-07,-514.773,
1994-10,-266.440,
1995-01,-289.064,
1995-04,-480.636,
1995-07,-889.315,
1995-10,-446.131,
1996-01,-279.682,
1996-04,-485.516,
1996-07,-1004.033,
1996-10,-467.961,
1997-01,-338.176,
1997-04,-568.722,
1997-07,-1159.887,
1997-10,-545.582,
1998-01,-320.775,
1998-04,-557.424,
1998-07,-1099.076,
1998-10,-528.477,
1999-01,-207.977,
1999-04,-392.052,
1999-07,-767.771,
1999-10,-347.267,
2000-01,-309.356,
2000-04,-596.900,
2000-07,-1220.591,
2000-10,-584.308,
2001-01,-430.577,
2001-04,-738.313,
2001-07,-1475.564,
2001-10,-677.036,
2002-01,-321.160,
2002-04,-812.323,
2002-07,-1481.710,
2002-10,-789.995,
2003-01,-320.206,
2003-04,-597.500,
2003-07,-1468.466,
2003-10,-797.887,
2004-01,-310.423,
2004-04,-742.815,
2004-07,-1882.666,
2004-10,-785.994,
2005-01,-467.697,
2005-04,-1105.605,
2005-07,-1807.329,
2005-10,-967.662,
2006-01,-350.481,
2006-04,-743.861,
2006-07,-1614.391,
2006-10,-795.049,
2007-01,-356.961,
2007-04,-886.218,
2007-07,-1581.146,
2007-10,-779.754,
2008-01,-477.240,
2008-04,-925.549,
2008-07,-1413.401,
2008-10,-589.258,
2009-01,-297.643,
2009-04,-742.862,
2009-07,-1332.801,
2009-10,-828.207,
2010-01,-384.121,
2010-04,-885.802,
2010-07,-1728.662,
2010-10,-865.235,
2011-01,-298.777,
2011-04,-1051.099,
2011-07,-1649.053,
2011-10,-1067.626,
2012-01,-326.000,
2012-04,-925.320,
2012-07,-1652.615,
2012-10,-915.712,
2013-01,-382.053,
2013-04,-1085.573,
2013-07,-1667.651,
2013-10,-1070.310,
2014-01,-410.067,Provisional value
2014-04,-1046.283,Provisional value
2014-07,-2055.082,Provisional value
