"",BBK01.OELB02M,BBK01.OELB02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:06,
2002-01,4.319,
2002-04,4.420,
2002-07,4.369,
2002-10,4.094,
2003-01,4.046,
2003-04,4.092,
2003-07,3.998,
2003-10,3.692,
2004-01,3.640,
2004-04,3.612,
2004-07,3.515,
2004-10,3.327,
2005-01,3.333,
2005-04,3.320,
2005-07,3.322,
2005-10,3.093,
2006-01,3.199,
2006-04,3.228,
2006-07,3.259,
2006-10,3.029,
2007-01,3.112,
2007-04,3.230,
2007-07,3.228,
2007-10,3.220,
2008-01,3.268,
2008-04,3.372,
2008-07,3.455,
2008-10,3.372,
2009-01,3.499,
2009-04,3.552,
2009-07,3.439,
2009-10,3.186,
2010-01,3.372,
2010-04,3.448,
2010-07,3.427,
2010-10,3.165,
2011-01,3.281,
2011-04,3.429,
2011-07,3.467,
2011-10,3.214,
2012-01,3.348,
2012-04,3.483,
2012-07,3.490,
2012-10,3.326,
2013-01,3.407,
2013-04,3.463,
2013-07,3.400,
2013-10,3.222,
2014-01,3.327,
2014-04,3.479,
2014-07,3.452,
