"",BBDA1.M.DE.N.EX.S.A.E1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.E1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Aggregate / all goods / Europe / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:00,
1993-01,17389820,
1993-02,20433202,
1993-03,21407150,
1993-04,20170405,
1993-05,19475959,
1993-06,20215304,
1993-07,18732319,
1993-08,17452167,
1993-09,20098717,
1993-10,20702504,
1993-11,20548390,
1993-12,20540426,
1994-01,18618481,
1994-02,19900119,
1994-03,23236410,
1994-04,21018129,
1994-05,21809297,
1994-06,23269843,
1994-07,20171234,
1994-08,20228199,
1994-09,21932405,
1994-10,22630989,
1994-11,22271706,
1994-12,22940006,
1995-01,22300601,
1995-02,22710772,
1995-03,25124614,
1995-04,22953680,
1995-05,24050376,
1995-06,25257104,
1995-07,21989647,
1995-08,21103206,
1995-09,24715147,
1995-10,24896389,
1995-11,24597918,
1995-12,23356836,
1996-01,24367557,
1996-02,23928788,
1996-03,25066882,
1996-04,24979477,
1996-05,24493239,
1996-06,24381828,
1996-07,25810065,
1996-08,21529082,
1996-09,24092226,
1996-10,27736985,
1996-11,26227838,
1996-12,24639025,
1997-01,24291036,
1997-02,25848324,
1997-03,26568067,
1997-04,27100831,
1997-05,26789251,
1997-06,29371992,
1997-07,28634142,
1997-08,24433945,
1997-09,28786366,
1997-10,30537365,
1997-11,29842723,
1997-12,28739465,
1998-01,28292838,
1998-02,29655300,
1998-03,31170411,
1998-04,32278608,
1998-05,29499285,
1998-06,32090405,
1998-07,32199795,
1998-08,25756689,
1998-09,29070122,
1998-10,32308664,
1998-11,31657357,
1998-12,28315570,
1999-01,27258904,
1999-02,29920793,
1999-03,31843907,
1999-04,30972040,
1999-05,29701188,
1999-06,33347076,
1999-07,31664717,
1999-08,28381499,
1999-09,31804953,
1999-10,32964553,
1999-11,36311309,
1999-12,32121354,
2000-01,31590872,
2000-02,34502589,
2000-03,38269499,
2000-04,34107167,
2000-05,38018248,
2000-06,36481332,
2000-07,35833046,
2000-08,33281652,
2000-09,35782091,
2000-10,41566139,
2000-11,41713740,
2000-12,36072523,
2001-01,37450643,
2001-02,38671224,
2001-03,40505988,
2001-04,38719270,
2001-05,39043744,
2001-06,39016756,
2001-07,39303288,
2001-08,36576004,
2001-09,35963296,
2001-10,41341096,
2001-11,40147557,
2001-12,34772642,
2002-01,36376163,
2002-02,38037737,
2002-03,39149877,
2002-04,40495560,
2002-05,36428838,
2002-06,41535681,
2002-07,39329326,
2002-08,36718781,
2002-09,39954938,
2002-10,42553017,
2002-11,43133840,
2002-12,37159714,
2003-01,38602996,
2003-02,39764014,
2003-03,42193478,
2003-04,39885098,
2003-05,39701072,
2003-06,40510310,
2003-07,41791448,
2003-08,36193244,
2003-09,43253552,
2003-10,43721570,
2003-11,44384349,
2003-12,40671152,
2004-01,40714912,
2004-02,42024274,
2004-03,48219074,
2004-04,45333103,
2004-05,44859639,
2004-06,46395025,
2004-07,45080892,
2004-08,40802776,
2004-09,45892023,
2004-10,48171776,
2004-11,50676304,
2004-12,43225091,
2005-01,44716497,
2005-02,44901229,
2005-03,48875754,
2005-04,48298188,
2005-05,47711116,
2005-06,51001247,
2005-07,46768634,
2005-08,45060361,
2005-09,51012300,
2005-10,50907416,
2005-11,53581927,
2005-12,48776158,
2006-01,50549943,
2006-02,51353739,
2006-03,56902026,
2006-04,52072752,
2006-05,54124890,
2006-06,55042715,
2006-07,53419087,
2006-08,50099531,
2006-09,57403547,
2006-10,61444626,
2006-11,61458464,
2006-12,53453798,
2007-01,57798257,
2007-02,58448167,
2007-03,63620571,
2007-04,59826962,
2007-05,59838939,
2007-06,61685679,
2007-07,60407308,
2007-08,56602517,
2007-09,60831272,
2007-10,66824129,
2007-11,66040514,
2007-12,54593524,
2008-01,62168556,
2008-02,62762149,
2008-03,62724312,
2008-04,66894751,
2008-05,60310621,
2008-06,65353155,
2008-07,63622544,
2008-08,55099690,
2008-09,64553316,
2008-10,66083396,
2008-11,55891416,
2008-12,47628515,
2009-01,47568109,
2009-02,46990221,
2009-03,52013731,
2009-04,47241076,
2009-05,44756791,
2009-06,48513877,
2009-07,49787190,
2009-08,43213141,
2009-09,52760937,
2009-10,53488061,
2009-11,51981383,
2009-12,47511019,
2010-01,46687052,
2010-02,50395628,
2010-03,60575285,
2010-04,53666101,
2010-05,54093049,
2010-06,60569687,
2010-07,55950805,
2010-08,51725626,
2010-09,60633154,
2010-10,61883676,
2010-11,61880360,
2010-12,56963911,
2011-01,57385642,
2011-02,60410069,
2011-03,70834114,
2011-04,60929429,
2011-05,65570243,
2011-06,63728279,
2011-07,59653976,
2011-08,59559906,
2011-09,67956653,
2011-10,62800363,
2011-11,66421674,
2011-12,57044594,
2012-01,60286712,
2012-02,63516572,
2012-03,68401590,
2012-04,60750797,
2012-05,64670595,
2012-06,64387091,
2012-07,62526451,
2012-08,59620431,
2012-09,62617689,
2012-10,67692202,
2012-11,64178454,
2012-12,52422716,
2013-01,61955074,
2013-02,61518538,
2013-03,64547994,
2013-04,63822024,
2013-05,60534357,
2013-06,64064051,
2013-07,62810695,
2013-08,56649946,
2013-09,64898236,
2013-10,68325861,
2013-11,64215138,
2013-12,54814493,
2014-01,63500653,
2014-02,63966060,
2014-03,65744482,
2014-04,64268518,
2014-05,62570264,
2014-06,64219051,
2014-07,66944041,
2014-08,56283962,
2014-09,68536669,
2014-10,69975203,
2014-11,65792344,
2014-12,59132824,
