"",BBK01.OEBB01P,BBK01.OEBB01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:00,
2002-01,3.221,
2002-04,3.254,
2002-07,3.298,
2002-10,2.777,
2003-01,2.922,
2003-04,2.795,
2003-07,2.814,
2003-10,2.671,
2004-01,2.621,
2004-04,2.573,
2004-07,2.616,
2004-10,2.534,
2005-01,2.720,
2005-04,2.767,
2005-07,2.805,
2005-10,2.758,
2006-01,2.755,
2006-04,2.813,
2006-07,2.833,
2006-10,2.869,
2007-01,2.905,
2007-04,2.871,
2007-07,2.904,
2007-10,3.061,
2008-01,3.067,
2008-04,3.876,
2008-07,3.807,
2008-10,3.763,
2009-01,3.723,
2009-04,4.051,
2009-07,4.020,
2009-10,4.019,
2010-01,4.033,
2010-04,4.014,
2010-07,3.872,
2010-10,3.965,
2011-01,3.978,
2011-04,3.962,
2011-07,4.029,
2011-10,3.973,
2012-01,4.001,
2012-04,3.982,
2012-07,4.026,
2012-10,3.855,
2013-01,3.955,
2013-04,3.931,
2013-07,4.000,
2013-10,4.078,
2014-01,4.065,
2014-04,4.032,
2014-07,3.999,
