"",BBK01.OEXB06K,BBK01.OEXB06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:28,
2002-01,7.305,
2002-04,7.415,
2002-07,6.666,
2002-10,6.512,
2003-01,6.144,
2003-04,6.258,
2003-07,6.414,
2003-10,7.138,
2004-01,5.572,
2004-04,5.948,
2004-07,6.019,
2004-10,3.519,
2005-01,3.870,
2005-04,3.710,
2005-07,4.021,
2005-10,3.774,
2006-01,4.691,
2006-04,5.180,
2006-07,5.555,
2006-10,5.366,
2007-01,5.305,
2007-04,5.160,
2007-07,5.223,
2007-10,5.661,
2008-01,5.569,
2008-04,5.376,
2008-07,5.552,
2008-10,5.970,
2009-01,6.869,
2009-04,6.405,
2009-07,6.451,
2009-10,6.184,
2010-01,6.303,
2010-04,7.883,
2010-07,5.718,
2010-10,6.195,
2011-01,5.844,
2011-04,5.384,
2011-07,5.603,
2011-10,5.241,
2012-01,5.488,
2012-04,5.740,
2012-07,5.479,
2012-10,5.407,
2013-01,5.409,
2013-04,5.339,
2013-07,5.400,
2013-10,5.288,
2014-01,5.489,
2014-04,5.621,
2014-07,5.418,
