"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.IE.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.IE.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Ireland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:06,
2009-09,14110,
2009-10,14663,
2009-11,15007,
2009-12,15066,
2010-01,15856,
2010-02,16432,
2010-03,17091,
2010-04,16682,
2010-05,16622,
2010-06,16510,
2010-07,16877,
2010-08,16980,
2010-09,15876,
2010-10,15932,
2010-11,14706,
2010-12,14384,
2011-01,13964,
2011-02,13849,
2011-03,13684,
2011-04,13306,
2011-05,13266,
2011-06,13157,
2011-07,13156,
2011-08,13140,
2011-09,13277,
2011-10,13045,
2011-11,12862,
2011-12,13150,
2012-01,13425,
2012-02,13266,
2012-03,12777,
2012-04,12827,
2012-05,12893,
2012-06,13001,
2012-07,13351,
2012-08,13468,
2012-09,13869,
2012-10,13792,
2012-11,13806,
2012-12,14042,
2013-01,14291,
2013-02,14907,
2013-03,15261,
2013-04,15228,
2013-05,15276,
2013-06,15192,
2013-07,14523,
2013-08,14408,
2013-09,14645,
2013-10,14774,
2013-11,14993,
2013-12,14969,
2014-01,15123,
2014-02,15217,
2014-03,15218,
2014-04,14995,
2014-05,15212,
2014-06,15280,
2014-07,14916,
2014-08,14825,
2014-09,14854,
2014-10,15058,
2014-11,15135,
