"",BBSF2.M.1.P.00000.REN01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:33,
2009-09,1104,
2009-10,1066,
2009-11,1059,
2009-12,1065,
2010-01,1021,
2010-02,1065,
2010-03,1099,
2010-04,1063,
2010-05,1035,
2010-06,1013,
2010-07,991,
2010-08,982,
2010-09,1012,
2010-10,1039,
2010-11,1017,
2010-12,1049,
2011-01,982,
2011-02,1007,
2011-03,994,
2011-04,989,
2011-05,971,
2011-06,967,
2011-07,869,
2011-08,767,
2011-09,760,
2011-10,792,
2011-11,743,
2011-12,801,
2012-01,799,
2012-02,810,
2012-03,822,
2012-04,832,
2012-05,825,
2012-06,772,
2012-07,759,
2012-08,707,
2012-09,705,
2012-10,707,
2012-11,760,
2012-12,786,
2013-01,808,
2013-02,872,
2013-03,947,
2013-04,954,
2013-05,973,
2013-06,928,
2013-07,934,
2013-08,932,
2013-09,967,
2013-10,998,
2013-11,1031,
2013-12,1037,
2014-01,1034,
2014-02,1091,
2014-03,1109,
2014-04,1150,
2014-05,1210,
2014-06,1208,
2014-07,1242,
2014-08,1239,
2014-09,1334,
2014-10,1369,
2014-11,1420,
