"",BBK01.CEBT2Q,BBK01.CEBT2Q_FLAGS
"",Savings deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:26,
1991-01,388.1,
1991-04,386.5,
1991-07,382.7,
1991-10,391.1,
1992-01,391.1,
1992-04,393.7,
1992-07,395.4,
1992-10,401.4,
1993-01,410.6,
1993-04,418.3,
1993-07,428.5,
1993-10,448.5,
1994-01,459.4,
1994-04,468.5,
1994-07,478.9,
1994-10,490.5,
1995-01,499.8,
1995-04,511.8,
1995-07,526.1,
1995-10,545.6,
1996-01,567.4,
1996-04,576.1,
1996-07,583.6,
1996-10,596.0,
1997-01,607.5,
1997-04,609.4,
1997-07,613.0,
1997-10,616.1,
1998-01,623.1,
1998-04,622.4,
1998-07,624.9,
1998-10,631.0,
1999-01,635.3,
1999-04,634.2,
1999-07,632.3,
1999-10,626.6,
2000-01,616.7,
2000-04,603.6,
2000-07,596.4,
2000-10,585.2,
2001-01,582.3,
2001-04,580.2,
2001-07,581.4,
2001-10,586.5,
2002-01,586.5,
2002-04,577.8,
2002-07,580.9,
2002-10,586.2,
2003-01,593.7,
2003-04,594.3,
2003-07,598.8,
2003-10,600.4,
2004-01,604.6,
2004-04,606.2,
2004-07,610.6,
2004-10,613.0,
2005-01,617.9,
2005-04,617.9,
2005-07,617.1,
2005-10,611.9,
2006-01,612.9,
2006-04,610.7,
2006-07,605.4,
2006-10,594.9,
2007-01,590.4,
2007-04,582.1,
2007-07,573.8,
2007-10,563.8,
2008-01,556.0,
2008-04,549.3,
2008-07,538.8,
2008-10,544.1,
2009-01,560.5,
2009-04,575.6,
2009-07,594.1,
2009-10,604.1,
2010-01,616.7,
2010-04,618.7,
2010-07,622.6,
2010-10,628.2,
2011-01,635.8,
2011-04,632.4,
2011-07,630.3,
2011-10,626.3,
2012-01,632.1,
2012-04,631.1,
2012-07,631.2,
2012-10,628.2,
2013-01,626.3,
2013-04,622.9,
2013-07,620.7,
2013-10,620.0,
2014-01,619.5,
