"",BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Goods / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:32,
1991-01,28.57,
1991-02,27.25,
1991-03,26.97,
1991-04,25.05,
1991-05,27.27,
1991-06,26.01,
1991-07,27.25,
1991-08,28.25,
1991-09,27.11,
1991-10,27.12,
1991-11,28.56,
1991-12,28.52,
1992-01,27.73,
1992-02,27.83,
1992-03,28.06,
1992-04,28.86,
1992-05,26.51,
1992-06,24.96,
1992-07,27.77,
1992-08,27.70,
1992-09,27.18,
1992-10,27.34,
1992-11,25.31,
1992-12,25.67,
1993-01,24.75,
1993-02,26.84,
1993-03,24.92,
1993-04,24.93,
1993-05,24.63,
1993-06,24.54,
1993-07,24.56,
1993-08,25.08,
1993-09,25.50,
1993-10,25.41,
1993-11,25.64,
1993-12,26.35,
1994-01,25.88,
1994-02,26.45,
1994-03,27.04,
1994-04,27.14,
1994-05,28.42,
1994-06,28.41,
1994-07,26.99,
1994-08,28.90,
1994-09,28.52,
1994-10,28.19,
1994-11,28.52,
1994-12,29.62,
1995-01,29.74,
1995-02,29.97,
1995-03,29.22,
1995-04,29.67,
1995-05,29.87,
1995-06,30.31,
1995-07,29.52,
1995-08,29.06,
1995-09,32.43,
1995-10,30.33,
1995-11,30.84,
1995-12,31.47,
1996-01,31.56,
1996-02,31.00,
1996-03,30.70,
1996-04,30.86,
1996-05,31.28,
1996-06,30.58,
1996-07,32.38,
1996-08,31.11,
1996-09,32.35,
1996-10,34.05,
1996-11,32.74,
1996-12,33.54,
1997-01,32.87,
1997-02,33.87,
1997-03,34.67,
1997-04,33.44,
1997-05,35.65,
1997-06,35.18,
1997-07,36.42,
1997-08,36.26,
1997-09,38.60,
1997-10,37.25,
1997-11,37.17,
1997-12,39.11,
1998-01,38.73,
1998-02,38.36,
1998-03,37.59,
1998-04,39.59,
1998-05,38.36,
1998-06,38.29,
1998-07,39.53,
1998-08,37.79,
1998-09,37.03,
1998-10,37.88,
1998-11,37.78,
1998-12,36.56,
1999-01,37.16,
1999-02,38.57,
1999-03,36.62,
1999-04,38.79,
1999-05,38.72,
1999-06,40.13,
1999-07,41.03,
1999-08,40.13,
1999-09,40.65,
1999-10,41.12,
1999-11,43.18,
1999-12,41.02,
2000-01,42.89,
2000-02,43.25,
2000-03,45.07,
2000-04,44.34,
2000-05,46.50,
2000-06,46.15,
2000-07,47.94,
2000-08,46.87,
2000-09,47.25,
2000-10,51.86,
2000-11,49.96,
2000-12,49.63,
2001-01,50.24,
2001-02,51.23,
2001-03,49.22,
2001-04,50.97,
2001-05,48.90,
2001-06,49.87,
2001-07,50.98,
2001-08,50.39,
2001-09,49.31,
2001-10,50.33,
2001-11,48.66,
2001-12,51.62,
2002-01,48.25,
2002-02,49.80,
2002-03,50.32,
2002-04,50.72,
2002-05,49.92,
2002-06,51.97,
2002-07,50.62,
2002-08,51.87,
2002-09,52.89,
2002-10,52.11,
2002-11,54.08,
2002-12,52.11,
2003-01,50.87,
2003-02,51.67,
2003-03,50.30,
2003-04,49.91,
2003-05,50.38,
2003-06,50.89,
2003-07,51.77,
2003-08,52.68,
2003-09,53.51,
2003-10,51.64,
2003-11,54.24,
2003-12,54.29,
2004-01,54.05,
2004-02,54.78,
2004-03,55.51,
2004-04,56.65,
2004-05,59.56,
2004-06,57.19,
2004-07,57.97,
2004-08,56.75,
2004-09,56.67,
2004-10,58.25,
2004-11,58.61,
2004-12,55.90,
2005-01,59.14,
2005-02,58.03,
2005-03,58.39,
2005-04,57.84,
2005-05,61.70,
2005-06,60.94,
2005-07,61.68,
2005-08,63.07,
2005-09,64.19,
2005-10,63.85,
2005-11,64.07,
2005-12,64.41,
2006-01,66.48,
2006-02,68.14,
2006-03,65.28,
2006-04,68.30,
2006-05,67.41,
2006-06,67.85,
2006-07,69.02,
2006-08,69.03,
2006-09,74.49,
2006-10,76.61,
2006-11,75.05,
2006-12,74.19,
2007-01,74.81,
2007-02,75.96,
2007-03,75.33,
2007-04,76.28,
2007-05,76.34,
2007-06,76.92,
2007-07,76.83,
2007-08,79.15,
2007-09,80.36,
2007-10,78.84,
2007-11,80.07,
2007-12,79.31,
2008-01,81.50,
2008-02,80.29,
2008-03,80.36,
2008-04,80.61,
2008-05,79.00,
2008-06,81.72,
2008-07,80.14,
2008-08,80.55,
2008-09,80.31,
2008-10,80.59,
2008-11,71.39,
2008-12,69.81,
2009-01,64.96,
2009-02,63.03,
2009-03,61.62,
2009-04,61.45,
2009-05,59.54,
2009-06,62.25,
2009-07,65.39,
2009-08,63.21,
2009-09,65.13,
2009-10,65.25,
2009-11,66.89,
2009-12,70.22,
2010-01,65.34,
2010-02,69.09,
2010-03,74.00,
2010-04,72.31,
2010-05,76.33,
2010-06,78.30,
2010-07,77.71,
2010-08,77.36,
2010-09,79.86,
2010-10,79.90,
2010-11,81.82,
2010-12,81.03,
2011-01,81.86,
2011-02,82.88,
2011-03,87.28,
2011-04,83.90,
2011-05,85.99,
2011-06,86.03,
2011-07,84.88,
2011-08,87.16,
2011-09,87.64,
2011-10,84.93,
2011-11,87.49,
2011-12,85.53,
2012-01,88.05,
2012-02,89.85,
2012-03,89.91,
2012-04,87.32,
2012-05,91.41,
2012-06,90.63,
2012-07,90.52,
2012-08,92.88,
2012-09,89.38,
2012-10,90.71,
2012-11,87.64,
2012-12,88.16,
2013-01,90.33,
2013-02,88.37,
2013-03,91.03,
2013-04,91.25,
2013-05,90.18,
2013-06,89.78,
2013-07,89.21,
2013-08,90.63,
2013-09,91.26,
2013-10,92.19,
2013-11,92.37,
2013-12,91.24,
2014-01,93.44,
2014-02,92.09,
2014-03,89.99,
2014-04,92.38,
2014-05,92.01,
2014-06,92.40,
2014-07,96.35,
2014-08,91.62,
2014-09,96.33,
2014-10,97.72,
2014-11,94.21,
2014-12,97.89,
