"",BBK01.OEXB08O,BBK01.OEXB08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:10,
2002-01,-30.617,
2002-04,-31.163,
2002-07,-31.664,
2002-10,-30.774,
2003-01,-30.434,
2003-04,-30.559,
2003-07,-30.731,
2003-10,-30.017,
2004-01,-30.168,
2004-04,-31.192,
2004-07,-32.514,
2004-10,-31.874,
2005-01,2.534,
2005-04,2.579,
2005-07,2.604,
2005-10,2.630,
2006-01,2.618,
2006-04,2.501,
2006-07,2.537,
2006-10,2.583,
2007-01,2.581,
2007-04,2.585,
2007-07,2.577,
2007-10,2.555,
2008-01,2.566,
2008-04,2.595,
2008-07,2.586,
2008-10,2.558,
2009-01,3.429,
2009-04,3.053,
2009-07,3.050,
2009-10,3.014,
2010-01,2.689,
2010-04,2.683,
2010-07,2.940,
2010-10,2.946,
2011-01,2.716,
2011-04,2.718,
2011-07,2.751,
2011-10,2.736,
2012-01,2.769,
2012-04,2.813,
2012-07,2.840,
2012-10,2.880,
2013-01,2.918,
2013-04,2.973,
2013-07,3.028,
2013-10,3.053,
2014-01,3.098,
2014-04,3.155,
2014-07,3.189,
