"",BBDA1.M.DE.N.EX.S.A.S19805.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.S19805.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / South-East Asian emerging market economies as defined in the German foreign trade statistics / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:58,
1990-07,993891,
1990-08,1026584,
1990-09,709556,
1990-10,1030716,
1990-11,981819,
1990-12,931148,
1991-01,998142,
1991-02,932257,
1991-03,959727,
1991-04,1063600,
1991-05,1224764,
1991-06,960966,
1991-07,1384249,
1991-08,1062477,
1991-09,1082910,
1991-10,1094489,
1991-11,1061640,
1991-12,1122185,
1992-01,1016044,
1992-02,943512,
1992-03,1220823,
1992-04,1092208,
1992-05,951279,
1992-06,1071569,
1992-07,1319442,
1992-08,1062926,
1992-09,1054660,
1992-10,1295718,
1992-11,1094686,
1992-12,1311215,
1993-01,1022591,
1993-02,1192083,
1993-03,1323141,
1993-04,1259863,
1993-05,1155046,
1993-06,1253256,
1993-07,1339498,
1993-08,1263622,
1993-09,1261585,
1993-10,1380463,
1993-11,1383902,
1993-12,1659990,
1994-01,1309166,
1994-02,1257009,
1994-03,1455928,
1994-04,1425811,
1994-05,1731238,
1994-06,1563683,
1994-07,1630395,
1994-08,1729076,
1994-09,1638154,
1994-10,1460844,
1994-11,1764045,
1994-12,2077224,
1995-01,1568020,
1995-02,1597358,
1995-03,1851227,
1995-04,1531220,
1995-05,1887658,
1995-06,1785996,
1995-07,1867798,
1995-08,1861151,
1995-09,1677454,
1995-10,1843334,
1995-11,1991021,
1995-12,2019211,
1996-01,1677132,
1996-02,1862100,
1996-03,1775635,
1996-04,1787148,
1996-05,1851118,
1996-06,1780627,
1996-07,2181021,
1996-08,1828574,
1996-09,1835738,
1996-10,2204544,
1996-11,1953660,
1996-12,1992478,
1997-01,1824273,
1997-02,1750419,
1997-03,1953689,
1997-04,2289072,
1997-05,1955493,
1997-06,2152927,
1997-07,2354432,
1997-08,1987473,
1997-09,2250170,
1997-10,2186912,
1997-11,1993214,
1997-12,2071000,
1998-01,1864246,
1998-02,1516857,
1998-03,1775328,
1998-04,1662853,
1998-05,1619234,
1998-06,1451742,
1998-07,1606338,
1998-08,1444053,
1998-09,1508984,
1998-10,1418716,
1998-11,1491045,
1998-12,1382951,
1999-01,1158702,
1999-02,1324286,
1999-03,1669518,
1999-04,1455262,
1999-05,1398621,
1999-06,1587863,
1999-07,1738652,
1999-08,1467948,
1999-09,1628068,
1999-10,1677079,
1999-11,1839329,
1999-12,1829233,
2000-01,1538975,
2000-02,1729311,
2000-03,1959934,
2000-04,1677224,
2000-05,2040359,
2000-06,1997409,
2000-07,2128689,
2000-08,2194486,
2000-09,2096270,
2000-10,2308082,
2000-11,2288429,
2000-12,2069418,
2001-01,2110125,
2001-02,1859357,
2001-03,2311622,
2001-04,2029171,
2001-05,2386002,
2001-06,2002008,
2001-07,2255459,
2001-08,2132737,
2001-09,1789809,
2001-10,2093804,
2001-11,1948993,
2001-12,1815641,
2002-01,1815712,
2002-02,1889320,
2002-03,2122965,
2002-04,2218553,
2002-05,2094348,
2002-06,2252369,
2002-07,2184111,
2002-08,2162385,
2002-09,2200700,
2002-10,2254077,
2002-11,2143807,
2002-12,1944059,
2003-01,2071207,
2003-02,1914388,
2003-03,1880006,
2003-04,2109951,
2003-05,2102180,
2003-06,1840110,
2003-07,2249500,
2003-08,2015682,
2003-09,2196300,
2003-10,1948400,
2003-11,2210109,
2003-12,1977389,
2004-01,2178944,
2004-02,2088028,
2004-03,2421651,
2004-04,2220093,
2004-05,2348355,
2004-06,2350348,
2004-07,2404489,
2004-08,2192514,
2004-09,2214834,
2004-10,2121923,
2004-11,2103803,
2004-12,2193303,
2005-01,2227556,
2005-02,2028040,
2005-03,2217179,
2005-04,2201209,
2005-05,2158843,
2005-06,2396490,
2005-07,2251341,
2005-08,2579170,
2005-09,2426065,
2005-10,2232868,
2005-11,2370538,
2005-12,2448417,
2006-01,2434659,
2006-02,2443084,
2006-03,2585219,
2006-04,2395405,
2006-05,2403088,
2006-06,2372633,
2006-07,2499171,
2006-08,2675081,
2006-09,3069567,
2006-10,2944279,
2006-11,3031773,
2006-12,2764591,
2007-01,2700600,
2007-02,2473113,
2007-03,2706019,
2007-04,2630751,
2007-05,2596027,
2007-06,2668413,
2007-07,2699503,
2007-08,2758045,
2007-09,2754528,
2007-10,2947764,
2007-11,2933062,
2007-12,2415762,
2008-01,3027493,
2008-02,2733568,
2008-03,2830345,
2008-04,2888890,
2008-05,2586332,
2008-06,2763419,
2008-07,3146460,
2008-08,2595194,
2008-09,2752013,
2008-10,2743901,
2008-11,2348191,
2008-12,2156229,
2009-01,2085064,
2009-02,1988950,
2009-03,2187229,
2009-04,2083536,
2009-05,2098774,
2009-06,2357866,
2009-07,2905737,
2009-08,2309984,
2009-09,2507596,
2009-10,2648436,
2009-11,2669525,
2009-12,2763313,
2010-01,2386029,
2010-02,2621157,
2010-03,3464586,
2010-04,2948644,
2010-05,3101155,
2010-06,3411500,
2010-07,3505859,
2010-08,3149052,
2010-09,3362869,
2010-10,3278339,
2010-11,3607191,
2010-12,3346903,
2011-01,3016587,
2011-02,3211579,
2011-03,3963154,
2011-04,3326131,
2011-05,3738122,
2011-06,3183381,
2011-07,3526156,
2011-08,3449613,
2011-09,3634444,
2011-10,3354057,
2011-11,3546037,
2011-12,3620149,
2012-01,3276566,
2012-02,3678652,
2012-03,3984562,
2012-04,3486410,
2012-05,3726799,
2012-06,3920338,
2012-07,4093629,
2012-08,3959643,
2012-09,3661322,
2012-10,4111383,
2012-11,4026459,
2012-12,3725492,
2013-01,3610004,
2013-02,3546618,
2013-03,3998377,
2013-04,4080685,
2013-05,3754389,
2013-06,3748177,
2013-07,4075431,
2013-08,3700642,
2013-09,3984690,
2013-10,3925372,
2013-11,3760336,
2013-12,3709751,
2014-01,3581619,
2014-02,3475761,
2014-03,4058891,
2014-04,3986026,
2014-05,3799912,
2014-06,3922115,
2014-07,4590315,
2014-08,3836371,
2014-09,4434521,
2014-10,4604890,
2014-11,4055986,
2014-12,4216418,
