"",BBK01.OEAA54V,BBK01.OEAA54V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:23,
2002-01,0.801,
2002-04,0.859,
2002-07,0.937,
2002-10,0.833,
2003-01,0.729,
2003-04,0.655,
2003-07,0.628,
2003-10,0.565,
2004-01,0.587,
2004-04,0.476,
2004-07,0.490,
2004-10,0.622,
2005-01,0.729,
2005-04,0.751,
2005-07,0.617,
2005-10,0.672,
2006-01,0.578,
2006-04,0.608,
2006-07,0.684,
2006-10,0.771,
2007-01,0.746,
2007-04,0.727,
2007-07,0.771,
2007-10,0.867,
2008-01,0.811,
2008-04,0.393,
2008-07,0.383,
2008-10,0.347,
2009-01,0.134,
2009-04,0.177,
2009-07,0.198,
2009-10,0.242,
2010-01,0.246,
2010-04,0.199,
2010-07,0.164,
2010-10,0.148,
2011-01,0.151,
2011-04,0.147,
2011-07,0.553,
2011-10,0.429,
2012-01,0.426,
2012-04,0.374,
2012-07,0.372,
2012-10,0.126,
2013-01,0.126,
2013-04,0.110,
2013-07,0.107,
2013-10,0.096,
2014-01,0.108,
2014-04,0.107,
2014-07,0.113,
