"",BBK01.OEYB11O,BBK01.OEYB11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:42,
2002-01,2.169,
2002-04,2.126,
2002-07,2.081,
2002-10,2.201,
2003-01,2.106,
2003-04,2.155,
2003-07,2.225,
2003-10,2.383,
2004-01,2.541,
2004-04,2.440,
2004-07,2.426,
2004-10,2.366,
2005-01,2.187,
2005-04,2.197,
2005-07,2.140,
2005-10,2.125,
2006-01,2.127,
2006-04,2.206,
2006-07,2.224,
2006-10,2.272,
2007-01,2.219,
2007-04,2.372,
2007-07,2.414,
2007-10,2.423,
2008-01,2.485,
2008-04,2.403,
2008-07,2.002,
2008-10,1.938,
2009-01,1.871,
2009-04,2.044,
2009-07,2.272,
2009-10,2.556,
2010-01,2.686,
2010-04,2.838,
2010-07,2.649,
2010-10,2.404,
2011-01,2.461,
2011-04,2.505,
2011-07,2.726,
2011-10,2.517,
2012-01,2.730,
2012-04,2.741,
2012-07,2.695,
2012-10,2.533,
2013-01,2.403,
2013-04,2.371,
2013-07,3.014,
2013-10,2.773,
2014-01,2.926,
2014-04,3.014,
2014-07,2.897,
