"",BBFN1.M.DE.N.1.A.PL.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PL.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Poland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:51,
1994-07,0.807,
1994-08,0.868,
1994-09,0.921,
1994-10,0.967,
1994-11,1.001,
1994-12,0.933,
1995-01,0.921,
1995-02,0.965,
1995-03,1.007,
1995-04,1.012,
1995-05,1.023,
1995-06,1.021,
1995-07,1.005,
1995-08,0.999,
1995-09,1.047,
1995-10,1.069,
1995-11,1.110,
1995-12,1.059,
1996-01,1.078,
1996-02,1.093,
1996-03,1.146,
1996-04,1.196,
1996-05,1.246,
1996-06,1.303,
1996-07,1.293,
1996-08,1.271,
1996-09,1.368,
1996-10,1.392,
1996-11,1.470,
1996-12,1.401,
1997-01,1.327,
1997-02,1.398,
1997-03,1.513,
1997-04,1.543,
1997-05,1.603,
1997-06,1.620,
1997-07,1.589,
1997-08,1.611,
1997-09,1.677,
1997-10,1.755,
1997-11,1.784,
1997-12,1.745,
1998-01,1.751,
1998-02,1.920,
1998-03,1.892,
1998-04,1.942,
1998-05,1.956,
1998-06,2.007,
1998-07,2.006,
1998-08,2.032,
1998-09,2.040,
1998-10,1.961,
1998-11,2.009,
1998-12,1.860,
1999-01,1.910,
1999-02,1.988,
1999-03,2.030,
1999-04,2.039,
1999-05,2.154,
1999-06,2.182,
1999-07,2.152,
1999-08,2.181,
1999-09,2.271,
1999-10,2.404,
1999-11,2.455,
1999-12,2.378,
2000-01,2.404,
2000-02,2.480,
2000-03,2.482,
2000-04,2.544,
2000-05,2.629,
2000-06,2.730,
2000-07,2.764,
2000-08,2.744,
2000-09,2.840,
2000-10,2.908,
2000-11,2.938,
2000-12,2.848,
2001-01,2.750,
2001-02,2.728,
2001-03,2.630,
2001-04,2.662,
2001-05,2.662,
2001-06,2.785,
2001-07,2.744,
2001-08,2.722,
2001-09,2.886,
2001-10,2.881,
2001-11,2.860,
2001-12,2.555,
2002-01,2.417,
2002-02,2.515,
2002-03,2.460,
2002-04,2.521,
2002-05,2.557,
2002-06,2.635,
2002-07,2.633,
2002-08,2.551,
2002-09,2.601,
2002-10,2.612,
2002-11,2.590,
2002-12,2.464,
2003-01,2.470,
2003-02,2.476,
2003-03,2.582,
2003-04,2.604,
2003-05,2.631,
2003-06,2.656,
2003-07,2.554,
2003-08,2.555,
2003-09,2.618,
2003-10,2.657,
2003-11,2.667,
2003-12,2.410,
2004-01,2.362,
2004-02,2.428,
2004-03,2.608,
2004-04,2.644,
2004-05,2.630,
2004-06,2.579,
2004-07,2.470,
2004-08,2.434,
2004-09,2.459,
2004-10,2.498,
2004-11,2.540,
2004-12,2.223,
2005-01,2.242,
2005-02,2.319,
2005-03,2.515,
2005-04,2.568,
2005-05,2.634,
2005-06,2.668,
2005-07,2.614,
2005-08,2.622,
2005-09,2.730,
2005-10,2.828,
2005-11,2.890,
2005-12,2.682,
2006-01,2.612,
2006-02,2.767,
2006-03,2.995,
2006-04,2.953,
2006-05,3.043,
2006-06,3.141,
2006-07,3.123,
2006-08,2.984,
2006-09,3.193,
2006-10,3.279,
2006-11,3.294,
2006-12,3.031,
2007-01,3.126,
2007-02,3.304,
2007-03,3.517,
2007-04,3.604,
2007-05,3.682,
2007-06,3.689,
2007-07,3.612,
2007-08,3.586,
2007-09,3.784,
2007-10,3.830,
2007-11,3.890,
2007-12,3.554,
2008-01,3.555,
2008-02,3.875,
2008-03,4.022,
2008-04,4.178,
2008-05,4.116,
2008-06,4.132,
2008-07,4.016,
2008-08,3.913,
2008-09,4.047,
2008-10,4.151,
2008-11,4.068,
2008-12,3.476,
2009-01,3.299,
2009-02,3.246,
2009-03,3.349,
2009-04,3.248,
2009-05,3.279,
2009-06,3.343,
2009-07,3.102,
2009-08,3.073,
2009-09,3.254,
2009-10,3.260,
2009-11,3.268,
2009-12,2.932,
2010-01,2.927,
2010-02,3.123,
2010-03,3.456,
2010-04,3.362,
2010-05,3.600,
2010-06,3.578,
2010-07,3.388,
2010-08,3.301,
2010-09,3.665,
2010-10,3.765,
2010-11,3.826,
2010-12,3.660,
2011-01,3.519,
2011-02,3.741,
2011-03,3.984,
2011-04,4.008,
2011-05,4.026,
2011-06,4.101,
2011-07,4.020,
2011-08,3.829,
2011-09,4.089,
2011-10,4.162,
2011-11,4.137,
2011-12,3.852,
2012-01,3.738,
2012-02,3.874,
2012-03,3.956,
2012-04,3.932,
2012-05,3.921,
2012-06,4.053,
2012-07,3.886,
2012-08,3.634,
2012-09,3.842,
2012-10,3.909,
2012-11,3.998,
2012-12,3.361,
2013-01,3.368,
2013-02,3.600,
2013-03,3.745,
2013-04,3.705,
2013-05,3.654,
2013-06,3.804,
2013-07,3.534,
2013-08,3.563,
2013-09,3.743,
2013-10,3.773,
2013-11,3.944,
2013-12,3.368,
2014-01,3.364,
2014-02,3.673,
2014-03,3.864,
2014-04,3.882,
2014-05,3.793,
2014-06,3.867,
2014-07,3.795,
2014-08,3.711,
2014-09,3.999,
2014-10,4.166,
2014-11,4.390,
2014-12,3.628,
