"",BBFN1.M.DE.N.1.A.KW.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KW.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:43,
1994-07,0.067,
1994-08,0.074,
1994-09,0.077,
1994-10,0.085,
1994-11,0.090,
1994-12,0.077,
1995-01,0.087,
1995-02,0.085,
1995-03,0.087,
1995-04,0.087,
1995-05,0.083,
1995-06,0.081,
1995-07,0.083,
1995-08,0.076,
1995-09,0.079,
1995-10,0.080,
1995-11,0.077,
1995-12,0.090,
1996-01,0.075,
1996-02,0.078,
1996-03,0.078,
1996-04,0.071,
1996-05,0.068,
1996-06,0.099,
1996-07,0.102,
1996-08,0.084,
1996-09,0.100,
1996-10,0.099,
1996-11,0.088,
1996-12,0.089,
1997-01,0.084,
1997-02,0.103,
1997-03,0.094,
1997-04,0.104,
1997-05,0.105,
1997-06,0.105,
1997-07,0.128,
1997-08,0.123,
1997-09,0.118,
1997-10,0.126,
1997-11,0.111,
1997-12,0.107,
1998-01,0.110,
1998-02,0.106,
1998-03,0.112,
1998-04,0.120,
1998-05,0.117,
1998-06,0.099,
1998-07,0.111,
1998-08,0.110,
1998-09,0.100,
1998-10,0.106,
1998-11,0.111,
1998-12,0.114,
1999-01,0.105,
1999-02,0.098,
1999-03,0.103,
1999-04,0.076,
1999-05,0.099,
1999-06,0.095,
1999-07,0.103,
1999-08,0.111,
1999-09,0.128,
1999-10,0.141,
1999-11,0.137,
1999-12,0.161,
2000-01,0.164,
2000-02,0.148,
2000-03,0.146,
2000-04,0.149,
2000-05,0.150,
2000-06,0.149,
2000-07,0.158,
2000-08,0.166,
2000-09,0.152,
2000-10,0.149,
2000-11,0.159,
2000-12,0.215,
2001-01,0.216,
2001-02,0.213,
2001-03,0.183,
2001-04,0.219,
2001-05,0.182,
2001-06,0.220,
2001-07,0.189,
2001-08,0.178,
2001-09,0.186,
2001-10,0.196,
2001-11,0.201,
2001-12,0.221,
2002-01,0.171,
2002-02,0.180,
2002-03,0.200,
2002-04,0.207,
2002-05,0.196,
2002-06,0.217,
2002-07,0.202,
2002-08,0.190,
2002-09,0.196,
2002-10,0.201,
2002-11,0.217,
2002-12,0.202,
2003-01,0.222,
2003-02,0.184,
2003-03,0.179,
2003-04,0.166,
2003-05,0.157,
2003-06,0.164,
2003-07,0.152,
2003-08,0.147,
2003-09,0.146,
2003-10,0.147,
2003-11,0.155,
2003-12,0.173,
2004-01,0.162,
2004-02,0.158,
2004-03,0.162,
2004-04,0.171,
2004-05,0.179,
2004-06,0.184,
2004-07,0.174,
2004-08,0.175,
2004-09,0.165,
2004-10,0.151,
2004-11,0.174,
2004-12,0.214,
2005-01,0.144,
2005-02,0.183,
2005-03,0.188,
2005-04,0.279,
2005-05,0.239,
2005-06,0.269,
2005-07,0.207,
2005-08,0.220,
2005-09,0.205,
2005-10,0.210,
2005-11,0.207,
2005-12,0.215,
2006-01,0.204,
2006-02,0.212,
2006-03,0.197,
2006-04,0.160,
2006-05,0.164,
2006-06,0.226,
2006-07,0.227,
2006-08,0.205,
2006-09,0.200,
2006-10,0.207,
2006-11,0.206,
2006-12,0.212,
2007-01,0.210,
2007-02,0.224,
2007-03,0.196,
2007-04,0.204,
2007-05,0.181,
2007-06,0.181,
2007-07,0.227,
2007-08,0.217,
2007-09,0.204,
2007-10,0.223,
2007-11,0.213,
2007-12,0.240,
2008-01,0.219,
2008-02,0.230,
2008-03,0.222,
2008-04,0.214,
2008-05,0.188,
2008-06,0.187,
2008-07,0.188,
2008-08,0.192,
2008-09,0.202,
2008-10,0.202,
2008-11,0.202,
2008-12,0.241,
2009-01,0.228,
2009-02,0.211,
2009-03,0.205,
2009-04,0.195,
2009-05,0.211,
2009-06,0.228,
2009-07,0.214,
2009-08,0.217,
2009-09,0.218,
2009-10,0.198,
2009-11,0.201,
2009-12,0.207,
2010-01,0.176,
2010-02,0.165,
2010-03,0.159,
2010-04,0.159,
2010-05,0.170,
2010-06,0.151,
2010-07,0.176,
2010-08,0.175,
2010-09,0.284,
2010-10,0.269,
2010-11,0.261,
2010-12,0.278,
2011-01,0.249,
2011-02,0.257,
2011-03,0.284,
2011-04,0.290,
2011-05,0.303,
2011-06,0.328,
2011-07,0.320,
2011-08,0.311,
2011-09,0.341,
2011-10,0.318,
2011-11,0.309,
2011-12,0.348,
2012-01,0.335,
2012-02,0.324,
2012-03,0.329,
2012-04,0.328,
2012-05,0.294,
2012-06,0.314,
2012-07,0.334,
2012-08,0.318,
2012-09,0.315,
2012-10,0.292,
2012-11,0.288,
2012-12,0.328,
2013-01,0.338,
2013-02,0.351,
2013-03,0.297,
2013-04,0.258,
2013-05,0.242,
2013-06,0.233,
2013-07,0.221,
2013-08,0.243,
2013-09,0.260,
2013-10,0.273,
2013-11,0.265,
2013-12,0.271,
2014-01,0.241,
2014-02,0.247,
2014-03,0.247,
2014-04,0.262,
2014-05,0.293,
2014-06,0.303,
2014-07,0.287,
2014-08,0.227,
2014-09,0.251,
2014-10,0.266,
2014-11,0.264,
2014-12,0.279,
