"",BBK01.OELB02K,BBK01.OELB02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:46,
2002-01,0.432,
2002-04,0.461,
2002-07,0.444,
2002-10,0.484,
2003-01,0.439,
2003-04,0.427,
2003-07,0.389,
2003-10,0.369,
2004-01,0.341,
2004-04,0.351,
2004-07,0.370,
2004-10,0.353,
2005-01,0.342,
2005-04,0.324,
2005-07,0.342,
2005-10,0.330,
2006-01,0.338,
2006-04,0.377,
2006-07,0.390,
2006-10,0.379,
2007-01,0.355,
2007-04,0.370,
2007-07,0.337,
2007-10,0.364,
2008-01,0.353,
2008-04,0.408,
2008-07,0.378,
2008-10,0.390,
2009-01,0.407,
2009-04,0.383,
2009-07,0.381,
2009-10,0.401,
2010-01,0.356,
2010-04,0.429,
2010-07,0.423,
2010-10,0.456,
2011-01,0.413,
2011-04,0.402,
2011-07,0.414,
2011-10,0.427,
2012-01,0.413,
2012-04,0.443,
2012-07,0.458,
2012-10,0.465,
2013-01,0.449,
2013-04,0.435,
2013-07,0.432,
2013-10,0.465,
2014-01,0.423,
2014-04,0.405,
2014-07,0.438,
