"",BBK01.OEAF07N,BBK01.OEAF07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:41,
2002-01,4.807,
2002-04,4.861,
2002-07,5.208,
2002-10,5.090,
2003-01,4.775,
2003-04,4.801,
2003-07,4.958,
2003-10,4.808,
2004-01,4.344,
2004-04,4.395,
2004-07,4.429,
2004-10,4.332,
2005-01,4.328,
2005-04,4.536,
2005-07,4.582,
2005-10,4.389,
2006-01,4.135,
2006-04,4.243,
2006-07,4.198,
2006-10,3.998,
2007-01,3.787,
2007-04,3.833,
2007-07,3.900,
2007-10,3.867,
2008-01,3.822,
2008-04,3.845,
2008-07,4.060,
2008-10,3.892,
2009-01,3.708,
2009-04,3.683,
2009-07,3.653,
2009-10,3.446,
2010-01,3.316,
2010-04,3.030,
2010-07,3.274,
2010-10,2.994,
2011-01,3.088,
2011-04,2.989,
2011-07,3.051,
2011-10,3.125,
2012-01,3.115,
2012-04,3.195,
2012-07,3.287,
2012-10,2.975,
2013-01,2.996,
2013-04,2.915,
2013-07,2.849,
2013-10,2.677,
2014-01,2.793,
2014-04,2.749,
2014-07,2.750,
