"",BBK01.OEBI01J,BBK01.OEBI01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:12,
2002-01,4.048,
2002-04,3.891,
2002-07,3.762,
2002-10,4.007,
2003-01,3.802,
2003-04,3.799,
2003-07,3.731,
2003-10,3.828,
2004-01,3.793,
2004-04,3.682,
2004-07,3.828,
2004-10,3.788,
2005-01,4.372,
2005-04,4.358,
2005-07,4.302,
2005-10,4.576,
2006-01,4.595,
2006-04,4.539,
2006-07,4.418,
2006-10,4.628,
2007-01,4.704,
2007-04,4.875,
2007-07,5.219,
2007-10,5.597,
2008-01,5.691,
2008-04,5.831,
2008-07,6.038,
2008-10,6.672,
2009-01,6.638,
2009-04,6.382,
2009-07,6.414,
2009-10,6.626,
2010-01,6.306,
2010-04,6.180,
2010-07,6.110,
2010-10,6.337,
2011-01,6.317,
2011-04,6.317,
2011-07,6.486,
2011-10,6.673,
2012-01,6.654,
2012-04,11.628,
2012-07,11.647,
2012-10,11.126,
2013-01,10.554,
2013-04,8.811,
2013-07,7.928,
2013-10,8.195,
2014-01,7.005,
2014-04,7.191,
2014-07,7.284,
