"",BBK01.OECB10K,BBK01.OECB10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:20,
2002-01,2.877,
2002-04,2.721,
2002-07,2.478,
2002-10,2.370,
2003-01,2.091,
2003-04,2.153,
2003-07,2.375,
2003-10,2.080,
2004-01,2.115,
2004-04,1.738,
2004-07,2.027,
2004-10,3.378,
2005-01,3.154,
2005-04,3.250,
2005-07,2.894,
2005-10,4.431,
2006-01,2.607,
2006-04,2.690,
2006-07,2.821,
2006-10,3.274,
2007-01,2.915,
2007-04,2.821,
2007-07,3.435,
2007-10,3.198,
2008-01,3.746,
2008-04,4.132,
2008-07,3.665,
2008-10,3.167,
2009-01,2.955,
2009-04,3.113,
2009-07,2.987,
2009-10,3.308,
2010-01,3.622,
2010-04,3.439,
2010-07,3.232,
2010-10,3.046,
2011-01,3.087,
2011-04,3.270,
2011-07,3.456,
2011-10,3.338,
2012-01,3.587,
2012-04,3.926,
2012-07,4.201,
2012-10,4.235,
2013-01,4.307,
2013-04,4.389,
2013-07,4.638,
2013-10,4.594,
2014-01,4.687,
2014-04,4.825,
2014-07,4.586,
