"",BBK01.OELI01H,BBK01.OELI01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:26,
2002-01,82.212,
2002-04,82.012,
2002-07,81.766,
2002-10,83.814,
2003-01,84.147,
2003-04,83.892,
2003-07,83.827,
2003-10,85.606,
2004-01,85.278,
2004-04,85.032,
2004-07,85.116,
2004-10,87.386,
2005-01,87.132,
2005-04,87.124,
2005-07,87.004,
2005-10,89.004,
2006-01,88.866,
2006-04,88.760,
2006-07,88.753,
2006-10,90.261,
2007-01,90.395,
2007-04,90.755,
2007-07,91.523,
2007-10,93.963,
2008-01,93.547,
2008-04,93.680,
2008-07,93.499,
2008-10,99.057,
2009-01,98.965,
2009-04,99.439,
2009-07,100.204,
2009-10,103.404,
2010-01,104.482,
2010-04,105.443,
2010-07,106.170,
2010-10,108.894,
2011-01,108.785,
2011-04,109.284,
2011-07,109.694,
2011-10,112.790,
2012-01,112.731,
2012-04,113.608,
2012-07,114.580,
2012-10,117.388,
2013-01,117.402,
2013-04,117.482,
2013-07,118.712,
2013-10,121.481,
2014-01,122.511,
2014-04,123.566,
2014-07,125.237,
