"",BBDA1.M.DE.N.IM.S.A.RU.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.RU.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Russian Federation / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:34,
1992-05,487531,
1992-06,531951,
1992-07,492324,
1992-08,419626,
1992-09,492131,
1992-10,470612,
1992-11,457213,
1992-12,520700,
1993-01,444787,
1993-02,404373,
1993-03,428648,
1993-04,508061,
1993-05,451188,
1993-06,483737,
1993-07,479139,
1993-08,474684,
1993-09,415167,
1993-10,442485,
1993-11,472165,
1993-12,476661,
1994-01,556312,
1994-02,454180,
1994-03,455439,
1994-04,483086,
1994-05,544516,
1994-06,574221,
1994-07,562491,
1994-08,649677,
1994-09,597671,
1994-10,560726,
1994-11,642787,
1994-12,652152,
1995-01,592964,
1995-02,601819,
1995-03,636882,
1995-04,534025,
1995-05,583398,
1995-06,548322,
1995-07,533827,
1995-08,585925,
1995-09,585733,
1995-10,596434,
1995-11,582953,
1995-12,577270,
1996-01,578758,
1996-02,538967,
1996-03,543473,
1996-04,646897,
1996-05,675695,
1996-06,711367,
1996-07,691570,
1996-08,632187,
1996-09,636127,
1996-10,781007,
1996-11,698155,
1996-12,761800,
1997-01,791422,
1997-02,665655,
1997-03,726791,
1997-04,748192,
1997-05,728672,
1997-06,673583,
1997-07,726730,
1997-08,691523,
1997-09,792300,
1997-10,756874,
1997-11,785963,
1997-12,688409,
1998-01,707044,
1998-02,562866,
1998-03,696094,
1998-04,661316,
1998-05,653229,
1998-06,595286,
1998-07,693395,
1998-08,619850,
1998-09,720425,
1998-10,665882,
1998-11,589594,
1998-12,535863,
1999-01,557371,
1999-02,469888,
1999-03,582756,
1999-04,618667,
1999-05,620568,
1999-06,641403,
1999-07,720065,
1999-08,705618,
1999-09,779559,
1999-10,869509,
1999-11,897874,
1999-12,913588,
2000-01,982254,
2000-02,1003943,
2000-03,1096659,
2000-04,1029952,
2000-05,1295286,
2000-06,1129768,
2000-07,1197526,
2000-08,1340176,
2000-09,1339843,
2000-10,1243072,
2000-11,1558014,
2000-12,1484010,
2001-01,1385497,
2001-02,1335305,
2001-03,1091316,
2001-04,1213024,
2001-05,1209111,
2001-06,1281162,
2001-07,1286220,
2001-08,1096581,
2001-09,1247367,
2001-10,1002067,
2001-11,1215303,
2001-12,1195240,
2002-01,1017469,
2002-02,917232,
2002-03,1119186,
2002-04,1416539,
2002-05,951299,
2002-06,997658,
2002-07,1057470,
2002-08,1130249,
2002-09,1061532,
2002-10,1126488,
2002-11,1242827,
2002-12,1140088,
2003-01,1231044,
2003-02,1242787,
2003-03,1063918,
2003-04,1143540,
2003-05,1281489,
2003-06,1121561,
2003-07,1205733,
2003-08,1076763,
2003-09,1137896,
2003-10,1059732,
2003-11,1500025,
2003-12,1166237,
2004-01,855871,
2004-02,1190235,
2004-03,1176896,
2004-04,1269074,
2004-05,1259182,
2004-06,1317275,
2004-07,1236454,
2004-08,1197878,
2004-09,1671002,
2004-10,1507654,
2004-11,1693749,
2004-12,1959826,
2005-01,1373153,
2005-02,1938822,
2005-03,1683015,
2005-04,1865788,
2005-05,1911294,
2005-06,2089048,
2005-07,1799493,
2005-08,1873853,
2005-09,1917944,
2005-10,1952640,
2005-11,1723164,
2005-12,2155708,
2006-01,2559669,
2006-02,2584418,
2006-03,2609967,
2006-04,2509714,
2006-05,2657500,
2006-06,2525742,
2006-07,2273274,
2006-08,2643832,
2006-09,2686066,
2006-10,2234142,
2006-11,2314200,
2006-12,2421901,
2007-01,2042838,
2007-02,2154212,
2007-03,2280364,
2007-04,2578902,
2007-05,2163225,
2007-06,2412957,
2007-07,2338283,
2007-08,2355569,
2007-09,2112479,
2007-10,2731109,
2007-11,2739556,
2007-12,2981232,
2008-01,2787856,
2008-02,3015916,
2008-03,2884998,
2008-04,3226550,
2008-05,2960971,
2008-06,2744669,
2008-07,3689098,
2008-08,3102962,
2008-09,3981896,
2008-10,3086154,
2008-11,3150568,
2008-12,2455142,
2009-01,2070949,
2009-02,1798508,
2009-03,2031342,
2009-04,1843133,
2009-05,1858295,
2009-06,1814001,
2009-07,1980141,
2009-08,1764658,
2009-09,2818864,
2009-10,2459865,
2009-11,2397055,
2009-12,2351015,
2010-01,1976257,
2010-02,2121833,
2010-03,2861995,
2010-04,2604138,
2010-05,3160556,
2010-06,2706840,
2010-07,2894439,
2010-08,2634482,
2010-09,2181137,
2010-10,2978958,
2010-11,2644602,
2010-12,3074937,
2011-01,2858838,
2011-02,2962764,
2011-03,3682646,
2011-04,3238833,
2011-05,3548921,
2011-06,2272711,
2011-07,4442939,
2011-08,2833099,
2011-09,3354435,
2011-10,3703097,
2011-11,3793758,
2011-12,4194170,
2012-01,3575468,
2012-02,3185318,
2012-03,4259962,
2012-04,3735834,
2012-05,3551429,
2012-06,3403674,
2012-07,3392957,
2012-08,2921971,
2012-09,3740332,
2012-10,4331507,
2012-11,3009159,
2012-12,3657446,
2013-01,3499052,
2013-02,3536516,
2013-03,3677164,
2013-04,3262918,
2013-05,3177464,
2013-06,3362780,
2013-07,3394963,
2013-08,3848187,
2013-09,3417984,
2013-10,3276533,
2013-11,3433835,
2013-12,3347060,
2014-01,3810424,
2014-02,3429900,
2014-03,3263592,
2014-04,3381411,
2014-05,3193974,
2014-06,3102989,
2014-07,2648488,
2014-08,3108791,
2014-09,3185693,
2014-10,3191083,
2014-11,3285112,
2014-12,2801266,
