"",BBK01.OEXK02G,BBK01.OEXK02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:03,
2002-01,1.541,
2002-04,1.751,
2002-07,1.710,
2002-10,1.672,
2003-01,1.891,
2003-04,1.903,
2003-07,1.951,
2003-10,1.999,
2004-01,2.135,
2004-04,2.040,
2004-07,2.108,
2004-10,2.277,
2005-01,1.039,
2005-04,1.043,
2005-07,0.819,
2005-10,0.858,
2006-01,0.927,
2006-04,0.925,
2006-07,0.885,
2006-10,0.747,
2007-01,0.769,
2007-04,0.804,
2007-07,0.810,
2007-10,0.800,
2008-01,0.783,
2008-04,0.753,
2008-07,0.784,
2008-10,0.756,
2009-01,0.785,
2009-04,0.924,
2009-07,0.942,
2009-10,0.942,
2010-01,0.946,
2010-04,1.021,
2010-07,0.995,
2010-10,1.038,
2011-01,1.073,
2011-04,1.180,
2011-07,1.189,
2011-10,1.220,
2012-01,1.269,
2012-04,1.304,
2012-07,1.464,
2012-10,1.480,
2013-01,1.526,
2013-04,1.537,
2013-07,1.531,
2013-10,1.636,
2014-01,1.550,
2014-04,1.521,
2014-07,1.593,
