"",BBSF2.M.1.P.00000.TOT01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:26,
2009-09,31985,
2009-10,32286,
2009-11,32805,
2009-12,33367,
2010-01,33686,
2010-02,34392,
2010-03,36068,
2010-04,36513,
2010-05,35607,
2010-06,34968,
2010-07,35396,
2010-08,36250,
2010-09,36493,
2010-10,37525,
2010-11,37748,
2010-12,38692,
2011-01,37926,
2011-02,38045,
2011-03,36583,
2011-04,37101,
2011-05,36883,
2011-06,36215,
2011-07,36262,
2011-08,33526,
2011-09,32310,
2011-10,33073,
2011-11,32022,
2011-12,32543,
2012-01,33372,
2012-02,33757,
2012-03,33941,
2012-04,33665,
2012-05,32302,
2012-06,31993,
2012-07,33104,
2012-08,33237,
2012-09,33503,
2012-10,33724,
2012-11,34464,
2012-12,34738,
2013-01,35113,
2013-02,36120,
2013-03,36870,
2013-04,37370,
2013-05,37826,
2013-06,37140,
2013-07,37841,
2013-08,37917,
2013-09,38396,
2013-10,39487,
2013-11,39812,
2013-12,40008,
2014-01,40006,
2014-02,40927,
2014-03,40930,
2014-04,40945,
2014-05,42331,
2014-06,42778,
2014-07,43434,
2014-08,44002,
2014-09,44791,
2014-10,44663,
2014-11,46344,
