"",BBFB1.Q.N.DE.CN.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:56,
1991-01,30.461,
1991-04,36.639,
1991-07,35.621,
1991-10,44.118,
1992-01,31.917,
1992-04,38.614,
1992-07,33.831,
1992-10,41.586,
1993-01,41.651,
1993-04,44.018,
1993-07,49.124,
1993-10,48.763,
1994-01,48.478,
1994-04,51.596,
1994-07,66.355,
1994-10,51.353,
1995-01,78.782,
1995-04,60.578,
1995-07,58.503,
1995-10,102.009,
1996-01,66.760,
1996-04,65.933,
1996-07,72.859,
1996-10,90.912,
1997-01,71.995,
1997-04,84.828,
1997-07,98.909,
1997-10,113.967,
1998-01,92.768,
1998-04,106.396,
1998-07,114.173,
1998-10,113.544,
1999-01,105.998,
1999-04,113.946,
1999-07,130.891,
1999-10,148.062,
2000-01,128.779,
2000-04,155.295,
2000-07,161.560,
2000-10,249.461,
2001-01,220.507,
2001-04,187.884,
2001-07,231.564,
2001-10,284.438,
2002-01,286.349,
2002-04,276.901,
2002-07,360.619,
2002-10,417.018,
2003-01,297.341,
2003-04,251.626,
2003-07,316.378,
2003-10,444.210,
2004-01,315.105,
2004-04,382.076,
2004-07,417.914,
2004-10,481.178,
2005-01,362.732,
2005-04,440.662,
2005-07,582.640,
2005-10,578.534,
2006-01,421.198,
2006-04,501.905,
2006-07,598.715,
2006-10,789.959,
2007-01,547.529,
2007-04,637.615,
2007-07,716.132,
2007-10,840.817,
2008-01,685.986,
2008-04,712.285,
2008-07,852.852,
2008-10,919.379,
2009-01,686.374,
2009-04,757.472,
2009-07,858.447,
2009-10,988.941,
2010-01,803.801,
2010-04,871.134,
2010-07,1001.374,
2010-10,1282.066,
2011-01,1012.622,
2011-04,1110.807,
2011-07,1285.664,
2011-10,1547.725,
2012-01,1134.059,
2012-04,1386.514,
2012-07,1657.800,
2012-10,1772.850,
2013-01,1346.520,
2013-04,1748.418,
2013-07,1770.434,
2013-10,2007.410,
2014-01,1718.476,Provisional value
2014-04,1962.650,Provisional value
2014-07,2190.999,Provisional value
