"",BBK01.OEHL02U,BBK01.OEHL02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:39,
2002-01,3.364,
2002-04,3.360,
2002-07,3.362,
2002-10,3.427,
2003-01,3.453,
2003-04,3.434,
2003-07,3.419,
2003-10,3.416,
2004-01,3.427,
2004-04,3.426,
2004-07,3.381,
2004-10,3.442,
2005-01,3.408,
2005-04,3.393,
2005-07,3.331,
2005-10,3.390,
2006-01,3.373,
2006-04,3.339,
2006-07,3.304,
2006-10,3.329,
2007-01,3.309,
2007-04,3.325,
2007-07,3.338,
2007-10,3.354,
2008-01,3.307,
2008-04,3.318,
2008-07,3.291,
2008-10,3.420,
2009-01,3.571,
2009-04,3.718,
2009-07,3.927,
2009-10,4.016,
2010-01,4.030,
2010-04,4.110,
2010-07,4.170,
2010-10,4.276,
2011-01,4.222,
2011-04,4.223,
2011-07,4.216,
2011-10,4.286,
2012-01,4.331,
2012-04,4.465,
2012-07,4.553,
2012-10,4.686,
2013-01,4.758,
2013-04,4.845,
2013-07,4.871,
2013-10,4.998,
2014-01,5.071,
2014-04,5.187,
2014-07,5.266,
