"",BBK01.OEYB13P,BBK01.OEYB13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:58,
2002-01,0.410,
2002-04,0.412,
2002-07,0.418,
2002-10,0.442,
2003-01,0.434,
2003-04,0.441,
2003-07,0.492,
2003-10,0.521,
2004-01,0.529,
2004-04,0.535,
2004-07,0.535,
2004-10,0.572,
2005-01,0.576,
2005-04,0.593,
2005-07,0.590,
2005-10,0.555,
2006-01,0.554,
2006-04,0.547,
2006-07,0.548,
2006-10,0.552,
2007-01,0.548,
2007-04,0.549,
2007-07,0.547,
2007-10,0.537,
2008-01,0.535,
2008-04,0.460,
2008-07,0.457,
2008-10,0.442,
2009-01,0.434,
2009-04,0.427,
2009-07,0.423,
2009-10,0.413,
2010-01,0.403,
2010-04,0.394,
2010-07,0.366,
2010-10,0.352,
2011-01,0.343,
2011-04,0.341,
2011-07,0.340,
2011-10,0.330,
2012-01,0.319,
2012-04,0.314,
2012-07,0.305,
2012-10,0.291,
2013-01,0.282,
2013-04,0.273,
2013-07,0.266,
2013-10,0.256,
2014-01,0.246,
2014-04,0.237,
2014-07,0.239,
