"",BBK01.OEBK01V,BBK01.OEBK01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:54,
2002-01,1.017,
2002-04,1.009,
2002-07,1.045,
2002-10,1.103,
2003-01,1.073,
2003-04,1.072,
2003-07,1.087,
2003-10,1.146,
2004-01,1.109,
2004-04,1.087,
2004-07,1.093,
2004-10,1.112,
2005-01,1.147,
2005-04,1.173,
2005-07,1.060,
2005-10,1.126,
2006-01,1.191,
2006-04,1.166,
2006-07,1.169,
2006-10,1.290,
2007-01,1.261,
2007-04,1.278,
2007-07,1.346,
2007-10,1.371,
2008-01,1.394,
2008-04,1.372,
2008-07,1.407,
2008-10,1.425,
2009-01,1.368,
2009-04,1.351,
2009-07,1.369,
2009-10,1.382,
2010-01,1.346,
2010-04,1.395,
2010-07,1.450,
2010-10,1.490,
2011-01,1.458,
2011-04,1.456,
2011-07,1.489,
2011-10,1.533,
2012-01,1.484,
2012-04,2.264,
2012-07,2.322,
2012-10,2.341,
2013-01,2.321,
2013-04,2.352,
2013-07,2.407,
2013-10,2.440,
2014-01,2.461,
2014-04,2.471,
2014-07,2.512,
