"",BBK01.OEBK04T,BBK01.OEBK04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:14,
2002-01,0.095,
2002-04,0.090,
2002-07,0.088,
2002-10,0.091,
2003-01,0.091,
2003-04,0.072,
2003-07,0.079,
2003-10,0.075,
2004-01,0.073,
2004-04,0.068,
2004-07,0.070,
2004-10,0.072,
2005-01,0.064,
2005-04,0.063,
2005-07,0.050,
2005-10,0.050,
2006-01,0.046,
2006-04,0.046,
2006-07,0.049,
2006-10,0.060,
2007-01,0.058,
2007-04,0.062,
2007-07,0.078,
2007-10,0.096,
2008-01,0.101,
2008-04,0.111,
2008-07,0.140,
2008-10,0.148,
2009-01,0.095,
2009-04,0.079,
2009-07,0.069,
2009-10,0.065,
2010-01,0.053,
2010-04,0.045,
2010-07,0.037,
2010-10,0.034,
2011-01,0.034,
2011-04,0.029,
2011-07,0.033,
2011-10,0.045,
2012-01,0.050,
2012-04,0.038,
2012-07,0.040,
2012-10,0.019,
2013-01,0.015,
2013-04,0.015,
2013-07,0.012,
2013-10,0.011,
2014-01,0.058,
2014-04,0.066,
2014-07,0.065,
