"",BBFN1.M.DE.N.1.L.R12.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:04,
1978-12,0.298,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.211,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.576,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.949,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,0.843,
1983-01,1.062,
1983-02,0.886,
1983-03,1.105,
1983-04,1.095,
1983-05,1.011,
1983-06,0.987,
1983-07,1.046,
1983-08,1.015,
1983-09,0.986,
1983-10,1.125,
1983-11,1.032,
1983-12,0.855,
1984-01,0.876,
1984-02,0.874,
1984-03,0.806,
1984-04,0.806,
1984-05,0.820,
1984-06,0.857,
1984-07,0.879,
1984-08,0.937,
1984-09,0.909,
1984-10,0.898,
1984-11,0.883,
1984-12,0.981,
1985-01,1.005,
1985-02,1.041,
1985-03,1.002,
1985-04,0.956,
1985-05,0.955,
1985-06,0.925,
1985-07,0.879,
1985-08,0.962,
1985-09,0.855,
1985-10,0.804,
1985-11,0.775,
1985-12,0.922,
1986-01,1.017,
1986-02,1.103,
1986-03,1.120,
1986-04,1.036,
1986-05,0.942,
1986-06,0.909,
1986-07,0.881,
1986-08,0.915,
1986-09,0.844,
1986-10,0.818,
1986-11,0.670,
1986-12,1.126,
1987-01,0.696,
1987-02,0.690,
1987-03,0.633,
1987-04,0.612,
1987-05,0.604,
1987-06,0.638,
1987-07,0.622,
1987-08,0.662,
1987-09,0.768,
1987-10,0.781,
1987-11,0.762,
1987-12,0.796,
1988-01,0.735,
1988-02,0.765,
1988-03,0.821,
1988-04,0.727,
1988-05,0.754,
1988-06,0.716,
1988-07,0.751,
1988-08,0.783,
1988-09,0.919,
1988-10,0.935,
1988-11,0.814,
1988-12,0.537,
1989-01,0.506,
1989-02,0.506,
1989-03,0.461,
1989-04,0.462,
1989-05,0.498,
1989-06,0.474,
1989-07,0.607,
1989-08,0.646,
1989-09,0.497,
1989-10,0.614,
1989-11,0.635,
1989-12,0.686,
1990-01,0.754,
1990-02,1.207,
1990-03,1.340,
1990-04,1.385,
1990-05,1.488,
1990-06,1.525,
1990-07,1.527,
1990-08,1.530,
1990-09,1.439,
1990-10,1.384,
1990-11,1.397,
1990-12,2.200,
1991-01,2.118,
1991-02,2.144,
1991-03,2.360,
1991-04,2.420,
1991-05,2.695,
1991-06,2.841,
1991-07,2.676,
1991-08,2.041,
1991-09,1.967,
1991-10,1.936,
1991-11,1.592,
1991-12,1.744,
1992-01,1.724,
1992-02,2.087,
1992-03,1.951,
1992-04,2.133,
1992-05,2.336,
1992-06,2.338,
1992-07,2.211,
1992-08,2.133,
1992-09,2.124,
1992-10,2.211,
1992-11,2.316,
1992-12,2.404,
1993-01,2.141,
1993-02,2.525,
1993-03,2.161,
1993-04,2.171,
1993-05,2.444,
1993-06,2.565,
1993-07,2.689,
1993-08,2.595,
1993-09,2.538,
1993-10,2.733,
1993-11,2.776,
1993-12,2.789,
1994-01,2.584,
1994-02,2.450,
1994-03,2.493,
1994-04,2.478,
1994-05,2.320,
1994-06,2.183,
1994-07,2.071,
1994-08,2.227,
1994-09,2.201,
1994-10,2.173,
1994-11,1.931,
1994-12,2.025,
1995-01,1.917,
1995-02,1.836,
1995-03,2.058,
1995-04,2.111,
1995-05,2.195,
1995-06,2.187,
1995-07,2.158,
1995-08,2.290,
1995-09,2.078,
1995-10,2.109,
1995-11,1.847,
1995-12,2.373,
1996-01,2.041,
1996-02,1.972,
1996-03,2.050,
1996-04,2.304,
1996-05,2.179,
1996-06,2.339,
1996-07,2.466,
1996-08,2.374,
1996-09,2.526,
1996-10,2.475,
1996-11,2.553,
1996-12,3.178,
1997-01,3.209,
1997-02,3.275,
1997-03,3.116,
1997-04,3.009,
1997-05,3.209,
1997-06,3.511,
1997-07,3.383,
1997-08,3.604,
1997-09,3.740,
1997-10,3.608,
1997-11,3.383,
1997-12,3.719,
1998-01,3.736,
1998-02,3.898,
1998-03,3.926,
1998-04,3.984,
1998-05,3.988,
1998-06,5.651,
1998-07,5.712,
1998-08,5.731,
1998-09,5.568,
1998-10,5.583,
1998-11,5.443,
1998-12,5.919,
1999-01,5.897,
1999-02,5.651,
1999-03,5.581,
1999-04,5.410,
1999-05,5.543,
1999-06,5.354,
1999-07,5.369,
1999-08,5.350,
1999-09,5.385,
1999-10,12.426,
1999-11,8.383,
1999-12,4.887,
2000-01,4.863,
2000-02,5.056,
2000-03,5.142,
2000-04,5.089,
2000-05,5.182,
2000-06,5.672,
2000-07,6.105,
2000-08,6.480,
2000-09,6.919,
2000-10,6.987,
2000-11,6.841,
2000-12,6.899,
2001-01,6.427,
2001-02,6.536,
2001-03,6.662,
2001-04,6.423,
2001-05,6.921,
2001-06,8.859,
2001-07,8.691,
2001-08,8.653,
2001-09,9.068,
2001-10,9.402,
2001-11,5.775,
2001-12,5.601,
2002-01,5.367,
2002-02,5.299,
2002-03,5.488,
2002-04,5.401,
2002-05,5.314,
2002-06,5.641,
2002-07,5.704,
2002-08,5.692,
2002-09,5.838,
2002-10,5.134,
2002-11,5.571,
2002-12,5.875,
2003-01,6.091,
2003-02,5.948,
2003-03,6.809,
2003-04,6.200,
2003-05,5.774,
2003-06,6.103,
2003-07,5.814,
2003-08,5.398,
2003-09,5.048,
2003-10,4.949,
2003-11,5.234,
2003-12,5.077,
2004-01,4.966,
2004-02,5.707,
2004-03,5.642,
2004-04,5.999,
2004-05,5.225,
2004-06,5.536,
2004-07,5.450,
2004-08,4.874,
2004-09,4.807,
2004-10,4.795,
2004-11,4.865,
2004-12,5.016,
2005-01,4.909,
2005-02,4.409,
2005-03,4.368,
2005-04,4.521,
2005-05,4.556,
2005-06,4.740,
2005-07,4.676,
2005-08,4.708,
2005-09,4.904,
2005-10,4.879,
2005-11,5.695,
2005-12,5.557,
2006-01,5.265,
2006-02,5.358,
2006-03,5.287,
2006-04,5.657,
2006-05,6.143,
2006-06,6.372,
2006-07,5.924,
2006-08,5.615,
2006-09,5.826,
2006-10,5.929,
2006-11,6.024,
2006-12,6.910,
2007-01,6.027,
2007-02,6.833,
2007-03,7.716,
2007-04,9.081,
2007-05,7.627,
