"",BBSF2.M.1.S.I0002.GEM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.GEM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:44,
2004-01,113,
2004-02,64,
2004-03,362,
2004-04,120,
2004-05,6,
2004-06,1790,
2004-07,1282,
2004-08,89,
2004-09,115,
2004-10,344,
2004-11,-31,
2004-12,-1369,
2005-01,74,
2005-02,22,
2005-03,390,
2005-04,269,
2005-05,453,
2005-06,99,
2005-07,49,
2005-08,-2,
2005-09,54,
2005-10,472,
2005-11,156,
2005-12,666,
2006-01,41,
2006-02,-304,
2006-03,424,
2006-04,-128,
2006-05,168,
2006-06,435,
2006-07,-551,
2006-08,80,
2006-09,256,
2006-10,19,
2006-11,129,
2006-12,1376,
2007-01,-301,
2007-02,514,
2007-03,166,
2007-04,122,
2007-05,-100,
2007-06,-92,
2007-07,-202,
2007-08,-10,
2007-09,-653,
2007-10,-190,
2007-11,55,
2007-12,-425,
2008-01,390,
2008-02,218,
2008-03,101,
2008-04,-405,
2008-05,136,
2008-06,-145,
2008-07,206,
2008-08,236,
2008-09,226,
2008-10,1360,
2008-11,-789,
2008-12,781,
2009-01,-188,
2009-02,-703,
2009-03,-298,
2009-04,207,
2009-05,87,
2009-06,-146,
2009-07,91,
2009-08,-110,
2009-09,621,
2009-10,-28,
2009-11,34,
2009-12,622,
2010-01,115,
2010-02,-269,
2010-03,276,
2010-04,566,
2010-05,716,
2010-06,26,
2010-07,383,
2010-08,239,
2010-09,-501,
2010-10,-783,
2010-11,446,
2010-12,1117,
2011-01,191,
2011-02,3936,
2011-03,-77,
2011-04,-463,
2011-05,-578,
2011-06,51,
2011-07,52,
2011-08,37,
2011-09,-585,
2011-10,-1557,
2011-11,-550,
2011-12,-773,
2012-01,1721,
2012-02,-31,
2012-03,353,
2012-04,161,
2012-05,483,
2012-06,356,
2012-07,607,
2012-08,339,
2012-09,-28,
2012-10,0,
2012-11,1216,
2012-12,2379,
2013-01,-919,
2013-02,504,
2013-03,905,
2013-04,210,
2013-05,383,
2013-06,-246,
2013-07,1413,
2013-08,352,
2013-09,174,
2013-10,34,
2013-11,353,
2013-12,1090,
2014-01,202,
2014-02,-1014,
2014-03,-130,
2014-04,-392,
2014-05,479,
2014-06,-343,
2014-07,308,
2014-08,493,
2014-09,331,
2014-10,-611,
2014-11,368,
