"",BBK01.OEYB06I,BBK01.OEYB06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:39,
2002-01,4.228,
2002-04,3.700,
2002-07,3.477,
2002-10,3.409,
2003-01,2.930,
2003-04,2.666,
2003-07,3.804,
2003-10,3.552,
2004-01,3.437,
2004-04,3.193,
2004-07,3.483,
2004-10,4.098,
2005-01,3.396,
2005-04,3.420,
2005-07,4.458,
2005-10,4.095,
2006-01,4.172,
2006-04,4.059,
2006-07,6.254,
2006-10,7.118,
2007-01,5.329,
2007-04,4.991,
2007-07,5.282,
2007-10,8.228,
2008-01,9.782,
2008-04,9.222,
2008-07,10.308,
2008-10,9.228,
2009-01,9.698,
2009-04,10.067,
2009-07,10.208,
2009-10,11.925,
2010-01,12.250,
2010-04,10.705,
2010-07,7.627,
2010-10,8.106,
2011-01,9.384,
2011-04,10.960,
2011-07,12.387,
2011-10,8.354,
2012-01,12.255,
2012-04,13.466,
2012-07,11.397,
2012-10,7.806,
2013-01,8.649,
2013-04,11.259,
2013-07,3.491,
2013-10,3.790,
2014-01,4.412,
2014-04,4.565,
2014-07,4.130,
