"",BBK01.OECL01L,BBK01.OECL01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:20,
2002-01,6.874,
2002-04,6.605,
2002-07,6.135,
2002-10,6.659,
2003-01,6.256,
2003-04,6.069,
2003-07,6.323,
2003-10,6.393,
2004-01,6.154,
2004-04,6.169,
2004-07,6.274,
2004-10,6.701,
2005-01,11.303,
2005-04,11.261,
2005-07,11.271,
2005-10,11.528,
2006-01,11.807,
2006-04,11.693,
2006-07,11.289,
2006-10,11.829,
2007-01,11.996,
2007-04,12.050,
2007-07,12.484,
2007-10,13.501,
2008-01,13.471,
2008-04,14.048,
2008-07,14.865,
2008-10,15.143,
2009-01,15.564,
2009-04,16.339,
2009-07,15.936,
2009-10,16.443,
2010-01,17.314,
2010-04,15.436,
2010-07,15.712,
2010-10,15.500,
2011-01,15.295,
2011-04,14.336,
2011-07,14.466,
2011-10,14.406,
2012-01,15.190,
2012-04,15.329,
2012-07,16.112,
2012-10,15.456,
2013-01,15.317,
2013-04,15.419,
2013-07,15.131,
2013-10,14.981,
2014-01,15.159,
2014-04,15.474,
2014-07,16.063,
