"",BBK01.OEHB24J,BBK01.OEHB24J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:37,
2002-01,0.110,
2002-04,0.229,
2002-07,0.081,
2002-10,0.081,
2003-01,0.082,
2003-04,0.082,
2003-07,0.057,
2003-10,0.056,
2004-01,0.175,
2004-04,0.210,
2004-07,0.209,
2004-10,0.208,
2005-01,0.198,
2005-04,0.138,
2005-07,0.098,
2005-10,0.097,
2006-01,0.097,
2006-04,0.096,
2006-07,0.096,
2006-10,0.104,
2007-01,0.104,
2007-04,0.104,
2007-07,0.102,
2007-10,0.101,
2008-01,0.118,
2008-04,0.180,
2008-07,0.178,
2008-10,0.180,
2009-01,0.126,
2009-04,0.114,
2009-07,0.108,
2009-10,0.106,
2010-01,0.107,
2010-04,0.104,
2010-07,0.104,
2010-10,0.062,
2011-01,0.062,
2011-04,0.060,
2011-07,0.045,
2011-10,0.050,
2012-01,0.049,
2012-04,0.049,
2012-07,0.051,
2012-10,0.049,
2013-01,0.049,
2013-04,0.048,
2013-07,0.040,
2013-10,0.037,
2014-01,0.048,
2014-04,0.047,
2014-07,0.045,
