"",BBK01.OEBO02J,BBK01.OEBO02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:17,
2002-01,0.203,
2002-04,0.162,
2002-07,0.142,
2002-10,0.139,
2003-01,0.166,
2003-04,0.143,
2003-07,0.173,
2003-10,0.130,
2004-01,0.151,
2004-04,0.115,
2004-07,0.159,
2004-10,0.122,
2005-01,0.194,
2005-04,0.159,
2005-07,0.149,
2005-10,0.154,
2006-01,0.212,
2006-04,0.189,
2006-07,0.183,
2006-10,0.193,
2007-01,0.299,
2007-04,0.211,
2007-07,0.234,
2007-10,0.226,
2008-01,0.239,
2008-04,0.224,
2008-07,0.205,
2008-10,0.344,
2009-01,0.323,
2009-04,0.216,
2009-07,0.330,
2009-10,0.215,
2010-01,0.197,
2010-04,0.155,
2010-07,0.122,
2010-10,0.210,
2011-01,0.247,
2011-04,0.189,
2011-07,0.152,
2011-10,0.159,
2012-01,0.271,
2012-04,0.132,
2012-07,0.138,
2012-10,0.154,
2013-01,0.153,
2013-04,0.138,
2013-07,0.098,
2013-10,0.106,
2014-01,0.090,
2014-04,0.083,
2014-07,0.130,
