"",BBK01.OEHL06N,BBK01.OEHL06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:03,
2002-01,10.315,
2002-04,10.389,
2002-07,10.303,
2002-10,10.367,
2003-01,10.134,
2003-04,10.066,
2003-07,9.957,
2003-10,10.146,
2004-01,10.335,
2004-04,10.242,
2004-07,10.256,
2004-10,10.246,
2005-01,10.027,
2005-04,9.845,
2005-07,9.561,
2005-10,9.357,
2006-01,9.239,
2006-04,9.164,
2006-07,9.320,
2006-10,9.633,
2007-01,10.337,
2007-04,10.959,
2007-07,11.648,
2007-10,12.216,
2008-01,12.437,
2008-04,12.671,
2008-07,12.981,
2008-10,13.518,
2009-01,12.644,
2009-04,11.500,
2009-07,10.213,
2009-10,9.500,
2010-01,9.184,
2010-04,8.743,
2010-07,8.414,
2010-10,8.393,
2011-01,8.712,
2011-04,9.102,
2011-07,9.326,
2011-10,9.823,
2012-01,9.941,
2012-04,9.934,
2012-07,9.616,
2012-10,9.329,
2013-01,8.745,
2013-04,8.209,
2013-07,7.986,
2013-10,7.723,
2014-01,7.444,
2014-04,7.305,
2014-07,7.073,
