"",BBK01.OEYI04P,BBK01.OEYI04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:57,
2002-01,0.447,
2002-04,0.353,
2002-07,0.377,
2002-10,0.495,
2003-01,0.560,
2003-04,0.738,
2003-07,0.751,
2003-10,0.914,
2004-01,0.613,
2004-04,0.417,
2004-07,0.524,
2004-10,0.596,
2005-01,0.644,
2005-04,0.546,
2005-07,0.498,
2005-10,0.445,
2006-01,0.559,
2006-04,0.586,
2006-07,0.696,
2006-10,0.751,
2007-01,0.884,
2007-04,1.107,
2007-07,1.056,
2007-10,1.135,
2008-01,1.289,
2008-04,1.330,
2008-07,1.417,
2008-10,1.093,
2009-01,1.193,
2009-04,1.447,
2009-07,1.716,
2009-10,1.242,
2010-01,1.378,
2010-04,1.373,
2010-07,1.782,
2010-10,1.809,
2011-01,2.091,
2011-04,2.420,
2011-07,2.858,
2011-10,2.910,
2012-01,3.203,
2012-04,3.098,
2012-07,2.919,
2012-10,2.109,
2013-01,2.569,
2013-04,2.279,
2013-07,1.654,
2013-10,0.939,
2014-01,1.222,
2014-04,1.133,
2014-07,1.047,
