"",BBK01.CEFO09,BBK01.CEFO09_FLAGS
"",Other deposits                                                 debtor: Total           creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:12,
1999-01,8.4,
1999-04,5.3,
1999-07,7.1,
1999-10,8.8,
2000-01,5.4,
2000-04,6.0,
2000-07,11.2,
2000-10,11.2,
2001-01,6.9,
2001-04,7.2,
2001-07,10.2,
2001-10,11.6,
2002-01,11.1,
2002-04,11.9,
2002-07,18.4,
2002-10,16.2,
2003-01,19.1,
2003-04,19.5,
2003-07,19.9,
2003-10,20.1,
2004-01,14.1,
2004-04,16.1,
2004-07,10.4,
2004-10,22.1,
2005-01,6.5,
2005-04,8.4,
2005-07,4.1,
2005-10,13.0,
2006-01,18.3,
2006-04,18.4,
2006-07,18.8,
2006-10,20.9,
2007-01,22.2,
2007-04,25.1,
2007-07,28.4,
2007-10,49.1,
2008-01,54.9,
2008-04,55.3,
2008-07,76.7,
2008-10,80.2,
2009-01,71.1,
2009-04,64.4,
2009-07,54.7,
2009-10,25.4,
2010-01,23.6,
2010-04,23.3,
2010-07,24.1,
2010-10,22.3,
2011-01,25.9,
2011-04,26.1,
2011-07,33.4,
2011-10,32.4,
2012-01,31.0,
2012-04,32.9,
2012-07,31.5,
2012-10,29.3,
2013-01,29.6,
2013-04,30.3,
2013-07,29.7,
2013-10,28.6,
2014-01,28.2,
2014-04,27.3,
2014-07,27.7,
