"",BBK01.WX4228,BBK01.WX4228_FLAGS
"",Purchases of domestic and foreign mutual fund shares by domestic non-banks,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:16:21,
1970-01,198,
1970-02,137,
1970-03,109,
1970-04,84,
1970-05,-36,
1970-06,36,
1970-07,41,
1970-08,74,
1970-09,43,
1970-10,28,
1970-11,78,
1970-12,92,
1971-01,115,
1971-02,84,
1971-03,87,
1971-04,52,
1971-05,41,
1971-06,61,
1971-07,61,
1971-08,46,
1971-09,47,
1971-10,48,
1971-11,108,
1971-12,130,
1972-01,176,
1972-02,230,
1972-03,169,
1972-04,147,
1972-05,134,
1972-06,258,
1972-07,233,
1972-08,259,
1972-09,168,
1972-10,157,
1972-11,211,
1972-12,212,
1973-01,230,
1973-02,217,
1973-03,152,
1973-04,125,
1973-05,58,
1973-06,69,
1973-07,63,
1973-08,74,
1973-09,33,
1973-10,50,
1973-11,131,
1973-12,49,
1974-01,14,
1974-02,28,
1974-03,-29,
1974-04,-20,
1974-05,20,
1974-06,2,
1974-07,-5,
1974-08,56,
1974-09,-9,
1974-10,8,
1974-11,80,
1974-12,89,
1975-01,123,
1975-02,165,
1975-03,41,
1975-04,88,
1975-05,84,
1975-06,122,
1975-07,35,
1975-08,125,
1975-09,60,
1975-10,123,
1975-11,241,
1975-12,242,
1976-01,202,
1976-02,170,
1976-03,234,
1976-04,157,
1976-05,165,
1976-06,151,
1976-07,109,
1976-08,242,
1976-09,165,
1976-10,235,
1976-11,550,
1976-12,395,
1977-01,455,
1977-02,307,
1977-03,380,
1977-04,292,
1977-05,282,
1977-06,276,
1977-07,244,
1977-08,490,
1977-09,273,
1977-10,355,
1977-11,692,
1977-12,550,
1978-01,785,
1978-02,653,
1978-03,527,
1978-04,337,
1978-05,210,
1978-06,252,
1978-07,101,
1978-08,376,
1978-09,245,
1978-10,233,
1978-11,432,
1978-12,301,
1979-01,463,
1979-02,331,
1979-03,182,
1979-04,133,
1979-05,64,
1979-06,113,
1979-07,134,
1979-08,292,
1979-09,78,
1979-10,89,
1979-11,216,
1979-12,175,
1980-01,125,
1980-02,70,
1980-03,-125,
1980-04,-5,
1980-05,-4,
1980-06,26,
1980-07,69,
1980-08,170,
1980-09,-29,
1980-10,15,
1980-11,102,
1980-12,90,
1981-01,67,
1981-02,5,
1981-03,-133,
1981-04,-77,
1981-05,-108,
1981-06,-93,
1981-07,-74,
1981-08,-9,
1981-09,-28,
1981-10,39,
1981-11,191,
1981-12,154,
1982-01,180,
1982-02,218,
1982-03,157,
1982-04,148,
1982-05,57,
1982-06,27,
1982-07,21,
1982-08,240,
1982-09,127,
1982-10,375,
1982-11,348,
1982-12,381,
