"",BBK01.OEAP03L,BBK01.OEAP03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:53,
2002-01,5.666,
2002-04,5.905,
2002-07,6.836,
2002-10,5.736,
2003-01,6.906,
2003-04,6.457,
2003-07,5.243,
2003-10,4.065,
2004-01,4.870,
2004-04,4.985,
2004-07,4.783,
2004-10,4.486,
2005-01,4.383,
2005-04,5.388,
2005-07,3.008,
2005-10,3.535,
2006-01,3.994,
2006-04,4.447,
2006-07,3.579,
2006-10,3.192,
2007-01,2.449,
2007-04,2.145,
2007-07,2.163,
2007-10,1.309,
2008-01,1.031,
2008-04,1.287,
2008-07,0.151,
2008-10,1.142,
2009-01,1.277,
2009-04,1.832,
2009-07,2.352,
2009-10,3.751,
2010-01,9.831,
2010-04,9.635,
2010-07,7.065,
2010-10,6.011,
2011-01,5.136,
2011-04,3.681,
2011-07,4.048,
2011-10,4.260,
2012-01,3.504,
2012-04,3.366,
2012-07,3.455,
2012-10,3.011,
2013-01,3.190,
2013-04,2.745,
2013-07,3.275,
2013-10,2.700,
2014-01,3.100,
2014-04,2.140,
2014-07,2.955,
