"",BBFN1.M.DE.N.1.A.W1.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from advance payments made / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:08,
1974-12,0.211,
1975-01,0.205,
1975-02,0.188,
1975-03,0.190,
1975-04,0.287,
1975-05,0.267,
1975-06,0.260,
1975-07,0.266,
1975-08,0.281,
1975-09,0.308,
1975-10,0.311,
1975-11,0.304,
1975-12,0.293,
1976-01,0.280,
1976-02,0.305,
1976-03,0.318,
1976-04,0.298,
1976-05,0.314,
1976-06,0.315,
1976-07,0.354,
1976-08,0.343,
1976-09,0.354,
1976-10,0.358,
1976-11,0.371,
1976-12,0.345,
1977-01,0.306,
1977-02,0.319,
1977-03,0.337,
1977-04,0.376,
1977-05,0.335,
1977-06,0.366,
1977-07,0.361,
1977-08,0.366,
1977-09,0.386,
1977-10,0.378,
1977-11,0.355,
1977-12,0.323,
1978-01,0.332,
1978-02,0.318,
1978-03,0.343,
1978-04,0.359,
1978-05,0.355,
1978-06,0.353,
1978-07,0.365,
1978-08,0.378,
1978-09,0.372,
1978-10,0.361,
1978-11,0.324,
1978-12,0.293,
1979-01,0.295,
1979-02,0.290,
1979-03,0.320,
1979-04,0.350,
1979-05,0.325,
1979-06,0.293,
1979-07,0.302,
1979-08,0.316,
1979-09,0.345,
1979-10,0.325,
1979-11,0.345,
1979-12,0.327,
1980-01,0.315,
1980-02,0.311,
1980-03,0.360,
1980-04,0.389,
1980-05,0.395,
1980-06,0.371,
1980-07,0.393,
1980-08,0.339,
1980-09,0.422,
1980-10,0.428,
1980-11,0.438,
1980-12,0.459,
1981-01,0.414,
1981-02,0.408,
1981-03,0.430,
1981-04,0.446,
1981-05,0.413,
1981-06,0.422,
1981-07,0.434,
1981-08,0.447,
1981-09,0.423,
1981-10,0.392,
1981-11,0.428,
1981-12,0.419,
1982-01,0.394,
1982-02,0.396,
1982-03,0.417,
1982-04,0.423,
1982-05,0.440,
1982-06,0.433,
1982-07,0.473,
1982-08,0.486,
1982-09,0.480,
1982-10,0.511,
1982-11,0.519,
1982-12,0.526,
1983-01,0.448,
1983-02,0.442,
1983-03,0.491,
1983-04,0.494,
1983-05,0.500,
1983-06,0.517,
1983-07,0.479,
1983-08,0.495,
1983-09,0.489,
1983-10,0.504,
1983-11,0.454,
1983-12,0.352,
1984-01,0.398,
1984-02,0.425,
1984-03,0.392,
1984-04,0.401,
1984-05,0.393,
1984-06,0.413,
1984-07,0.418,
1984-08,0.415,
1984-09,0.433,
1984-10,0.474,
1984-11,0.493,
1984-12,0.471,
1985-01,0.450,
1985-02,0.441,
1985-03,0.452,
1985-04,0.489,
1985-05,0.479,
1985-06,0.458,
1985-07,0.513,
1985-08,0.536,
1985-09,0.506,
1985-10,0.512,
1985-11,0.496,
1985-12,0.562,
1986-01,0.550,
1986-02,0.570,
1986-03,0.506,
1986-04,0.503,
1986-05,0.509,
1986-06,0.535,
1986-07,0.557,
1986-08,0.531,
1986-09,0.532,
1986-10,0.535,
1986-11,0.526,
1986-12,0.555,
1987-01,0.518,
1987-02,0.536,
1987-03,0.555,
1987-04,0.552,
1987-05,0.565,
1987-06,0.570,
1987-07,0.584,
1987-08,0.463,
1987-09,0.479,
1987-10,0.473,
1987-11,0.465,
1987-12,0.369,
1988-01,0.468,
1988-02,0.478,
1988-03,0.479,
1988-04,0.485,
1988-05,0.448,
1988-06,0.459,
1988-07,0.472,
1988-08,0.478,
1988-09,0.476,
1988-10,0.471,
1988-11,0.458,
1988-12,0.441,
1989-01,0.454,
1989-02,0.505,
1989-03,0.427,
1989-04,0.416,
1989-05,0.434,
1989-06,0.458,
1989-07,0.469,
1989-08,0.486,
1989-09,0.546,
1989-10,0.553,
1989-11,0.545,
1989-12,0.539,
1990-01,0.588,
1990-02,0.613,
1990-03,0.581,
1990-04,0.557,
1990-05,0.583,
1990-06,0.583,
1990-07,0.616,
1990-08,0.588,
1990-09,0.671,
1990-10,0.699,
1990-11,0.667,
1990-12,0.741,
1991-01,0.730,
1991-02,0.730,
1991-03,0.768,
1991-04,0.801,
1991-05,0.857,
1991-06,0.942,
1991-07,0.935,
1991-08,0.963,
1991-09,0.903,
1991-10,1.008,
1991-11,0.997,
1991-12,0.980,
1992-01,0.866,
1992-02,0.914,
1992-03,0.982,
1992-04,0.960,
1992-05,0.885,
1992-06,1.077,
1992-07,1.012,
1992-08,0.970,
1992-09,0.924,
1992-10,0.929,
1992-11,0.956,
1992-12,0.886,
1993-01,0.938,
1993-02,0.901,
1993-03,0.853,
1993-04,0.837,
1993-05,0.826,
1993-06,0.723,
1993-07,0.729,
1993-08,0.735,
1993-09,0.734,
1993-10,0.751,
1993-11,0.756,
1993-12,0.802,
1994-01,0.789,
1994-02,0.743,
1994-03,0.756,
1994-04,0.783,
1994-05,0.873,
1994-06,0.820,
1994-07,0.939,
1994-08,0.994,
1994-09,0.822,
1994-10,0.954,
1994-11,0.935,
1994-12,1.190,
1995-01,1.203,
1995-02,1.151,
1995-03,1.097,
1995-04,1.109,
1995-05,1.112,
1995-06,1.027,
1995-07,1.005,
1995-08,1.031,
1995-09,1.054,
1995-10,1.070,
1995-11,1.136,
1995-12,0.976,
1996-01,0.971,
1996-02,1.033,
1996-03,1.073,
1996-04,1.056,
1996-05,1.138,
1996-06,1.036,
1996-07,1.011,
1996-08,1.057,
1996-09,1.035,
1996-10,1.068,
1996-11,1.123,
1996-12,1.154,
1997-01,1.224,
1997-02,1.251,
1997-03,1.302,
1997-04,1.301,
1997-05,1.397,
1997-06,1.316,
1997-07,1.359,
1997-08,1.327,
1997-09,1.339,
1997-10,1.259,
1997-11,1.295,
1997-12,1.193,
1998-01,1.116,
1998-02,1.241,
1998-03,1.168,
1998-04,1.284,
1998-05,1.287,
1998-06,1.139,
1998-07,1.122,
1998-08,1.287,
1998-09,1.214,
1998-10,1.186,
1998-11,1.158,
1998-12,1.149,
1999-01,1.314,
1999-02,1.373,
1999-03,1.366,
1999-04,1.248,
1999-05,1.444,
1999-06,1.267,
1999-07,1.145,
1999-08,1.243,
1999-09,1.060,
1999-10,1.294,
1999-11,1.290,
1999-12,1.210,
2000-01,1.256,
2000-02,1.298,
2000-03,1.372,
2000-04,1.282,
2000-05,1.270,
2000-06,1.118,
2000-07,1.176,
2000-08,1.314,
2000-09,1.270,
2000-10,1.258,
2000-11,1.366,
2000-12,1.212,
2001-01,1.308,
2001-02,1.422,
2001-03,1.446,
2001-04,1.396,
2001-05,1.413,
2001-06,1.485,
2001-07,1.421,
2001-08,2.167,
2001-09,1.970,
2001-10,2.251,
2001-11,2.346,
2001-12,2.481,
2002-01,1.886,
2002-02,2.173,
2002-03,2.605,
2002-04,2.568,
2002-05,2.253,
2002-06,2.345,
2002-07,2.620,
2002-08,2.517,
2002-09,2.246,
2002-10,2.654,
2002-11,1.970,
2002-12,1.782,
2003-01,1.727,
2003-02,1.773,
2003-03,1.921,
2003-04,2.034,
2003-05,1.859,
2003-06,1.806,
2003-07,2.294,
2003-08,1.985,
2003-09,1.903,
2003-10,2.008,
2003-11,1.103,
2003-12,1.008,
2004-01,1.025,
2004-02,1.340,
2004-03,1.089,
2004-04,1.103,
2004-05,1.091,
2004-06,1.071,
2004-07,1.097,
2004-08,1.119,
2004-09,1.173,
2004-10,1.137,
2004-11,1.165,
2004-12,1.064,
2005-01,1.134,
2005-02,1.106,
2005-03,1.161,
2005-04,1.172,
2005-05,1.171,
2005-06,1.141,
2005-07,1.268,
2005-08,1.284,
2005-09,1.287,
2005-10,1.315,
2005-11,1.271,
2005-12,1.165,
2006-01,1.190,
2006-02,1.208,
2006-03,1.253,
2006-04,1.312,
2006-05,1.279,
2006-06,1.257,
2006-07,1.307,
2006-08,1.377,
2006-09,1.305,
2006-10,1.388,
2006-11,1.376,
2006-12,1.220,
2007-01,1.330,
2007-02,1.309,
2007-03,1.352,
2007-04,1.432,
2007-05,1.461,
2007-06,1.518,
2007-07,1.565,
2007-08,1.622,
2007-09,1.520,
2007-10,1.699,
2007-11,1.782,
2007-12,1.643,
2008-01,1.736,
2008-02,1.731,
2008-03,1.689,
2008-04,1.803,
2008-05,1.849,
2008-06,1.877,
2008-07,2.007,
2008-08,2.069,
2008-09,2.092,
2008-10,2.245,
2008-11,2.316,
2008-12,2.075,
2009-01,2.095,
2009-02,2.135,
2009-03,2.160,
2009-04,2.173,
2009-05,2.320,
2009-06,2.362,
2009-07,2.380,
2009-08,2.423,
2009-09,2.403,
2009-10,2.635,
2009-11,2.685,
2009-12,2.661,
2010-01,2.531,
2010-02,2.557,
2010-03,2.712,
2010-04,2.741,
2010-05,2.856,
2010-06,2.931,
2010-07,2.959,
2010-08,2.988,
2010-09,3.044,
2010-10,3.097,
2010-11,3.084,
2010-12,3.224,
2011-01,4.999,
2011-02,5.036,
2011-03,4.948,
2011-04,5.086,
2011-05,5.062,
2011-06,5.033,
2011-07,5.210,
2011-08,5.259,
2011-09,5.187,
2011-10,5.275,
2011-11,5.114,
2011-12,4.915,
2012-01,4.955,
2012-02,4.820,
2012-03,4.728,
2012-04,4.806,
2012-05,4.953,
2012-06,5.137,
2012-07,5.527,
2012-08,6.323,
2012-09,6.511,
2012-10,6.316,
2012-11,6.337,
2012-12,5.997,
2013-01,6.064,
2013-02,6.033,
2013-03,6.096,
2013-04,6.198,
2013-05,6.550,
2013-06,6.464,
2013-07,5.514,
2013-08,4.449,
2013-09,5.506,
2013-10,5.774,
2013-11,5.696,
2013-12,5.747,
2014-01,5.518,
2014-02,5.370,
2014-03,5.488,
2014-04,5.490,
2014-05,5.882,
2014-06,5.787,
2014-07,5.635,
2014-08,5.644,
2014-09,5.314,
2014-10,5.704,
2014-11,5.689,
2014-12,5.575,
