"",BBSF2.M.1.S.00000.REN01.T.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.T.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:10,
2009-09,1,
2009-10,0,
2009-11,1,
2009-12,1380,
2010-01,3,
2010-02,15,
2010-03,6,
2010-04,1,
2010-05,3,
2010-06,24,
2010-07,3,
2010-08,4,
2010-09,54,
2010-10,4,
2010-11,2,
2010-12,245,
2011-01,82,
2011-02,84,
2011-03,45,
2011-04,135,
2011-05,68,
2011-06,14,
2011-07,17,
2011-08,507,
2011-09,105,
2011-10,292,
2011-11,103,
2011-12,829,
2012-01,160,
2012-02,58,
2012-03,8,
2012-04,13,
2012-05,33,
2012-06,524,
2012-07,1406,
2012-08,168,
2012-09,57,
2012-10,9,
2012-11,4,
2012-12,37,
2013-01,15,
2013-02,10,
2013-03,6,
2013-04,4,
2013-05,271,
2013-06,191,
2013-07,30,
2013-08,37,
2013-09,21,
2013-10,3,
2013-11,11,
2013-12,23,
2014-01,194,
2014-02,3,
2014-03,2,
2014-04,10,
2014-05,205,
2014-06,5,
2014-07,3,
2014-08,106,
2014-09,303,
2014-10,3,
2014-11,3,
