"",BBK01.OEAB05J,BBK01.OEAB05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:49,
2002-01,21.416,
2002-04,21.865,
2002-07,22.507,
2002-10,22.470,
2003-01,22.261,
2003-04,21.964,
2003-07,22.035,
2003-10,21.895,
2004-01,21.810,
2004-04,22.314,
2004-07,22.076,
2004-10,22.548,
2005-01,23.824,
2005-04,23.866,
2005-07,23.928,
2005-10,24.126,
2006-01,24.323,
2006-04,24.290,
2006-07,24.395,
2006-10,22.911,
2007-01,22.693,
2007-04,22.711,
2007-07,22.816,
2007-10,22.910,
2008-01,23.041,
2008-04,23.375,
2008-07,23.027,
2008-10,22.803,
2009-01,22.965,
2009-04,22.750,
2009-07,22.011,
2009-10,21.700,
2010-01,21.640,
2010-04,25.235,
2010-07,24.758,
2010-10,25.164,
2011-01,25.019,
2011-04,24.946,
2011-07,25.009,
2011-10,25.141,
2012-01,24.745,
2012-04,26.231,
2012-07,26.308,
2012-10,25.417,
2013-01,25.690,
2013-04,25.356,
2013-07,25.649,
2013-10,25.521,
2014-01,25.351,
2014-04,25.240,
2014-07,25.347,
