"",BBK01.OECB06H,BBK01.OECB06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:52,
2002-01,16.756,
2002-04,17.206,
2002-07,16.956,
2002-10,17.056,
2003-01,14.625,
2003-04,13.244,
2003-07,13.074,
2003-10,12.943,
2004-01,12.835,
2004-04,12.954,
2004-07,12.987,
2004-10,12.054,
2005-01,11.985,
2005-04,13.085,
2005-07,14.361,
2005-10,11.274,
2006-01,18.530,
2006-04,13.902,
2006-07,18.920,
2006-10,14.588,
2007-01,17.827,
2007-04,14.685,
2007-07,19.839,
2007-10,14.559,
2008-01,21.430,
2008-04,28.522,
2008-07,29.006,
2008-10,12.368,
2009-01,16.363,
2009-04,19.158,
2009-07,19.619,
2009-10,16.420,
2010-01,16.827,
2010-04,15.077,
2010-07,18.038,
2010-10,15.567,
2011-01,14.409,
2011-04,16.520,
2011-07,14.293,
2011-10,16.575,
2012-01,21.920,
2012-04,17.418,
2012-07,22.440,
2012-10,14.540,
2013-01,20.379,
2013-04,22.965,
2013-07,11.056,
2013-10,10.548,
2014-01,8.904,
2014-04,8.923,
2014-07,9.934,
