"",BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:30,
1991-01,5.880,
1991-04,26.861,
1991-07,125.162,
1991-10,93.838,
1992-01,-0.762,
1992-04,57.919,
1992-07,5.563,
1992-10,-8.149,
1993-01,11.429,
1993-04,60.827,
1993-07,37.192,
1993-10,43.616,
1994-01,11.024,
1994-04,99.232,
1994-07,24.657,
1994-10,56.674,
1995-01,118.269,
1995-04,108.610,
1995-07,31.189,
1995-10,-48.675,
1996-01,-16.405,
1996-04,78.511,
1996-07,35.508,
1996-10,-23.865,
1997-01,10.494,
1997-04,85.918,
1997-07,154.387,
1997-10,275.916,
1998-01,363.280,
1998-04,7.294,
1998-07,103.419,
1998-10,-29.410,
1999-01,454.020,
1999-04,528.134,
1999-07,49.303,
1999-10,-65.887,
2000-01,888.568,
2000-04,0.273,
2000-07,42.064,
2000-10,1042.128,
2001-01,503.206,
2001-04,416.189,
2001-07,101.083,
2001-10,360.405,
2002-01,105.300,
2002-04,-36.323,
2002-07,10.850,
2002-10,347.580,
2003-01,364.738,
2003-04,-36.643,
2003-07,56.960,
2003-10,1023.413,
2004-01,179.584,
2004-04,148.921,
2004-07,229.247,
2004-10,-444.314,
2005-01,470.963,
2005-04,822.584,
2005-07,762.367,
2005-10,-1826.719,
2006-01,338.406,
2006-04,753.194,
2006-07,719.265,
2006-10,-311.179,
2007-01,-1001.766,
2007-04,-222.601,
2007-07,-107.049,
2007-10,-626.961,
2008-01,136.232,
2008-04,582.847,
2008-07,1526.956,
2008-10,-146.730,
2009-01,-519.489,
2009-04,-321.227,
2009-07,-7.921,
2009-10,-91.677,
2010-01,35.054,
2010-04,3942.362,
2010-07,94.795,
2010-10,1633.018,
2011-01,689.959,
2011-04,-717.278,
2011-07,5012.440,
2011-10,1503.469,
2012-01,10760.457,
2012-04,10610.592,
2012-07,35.454,
2012-10,9916.824,
2013-01,1166.758,
2013-04,5123.857,
2013-07,619.985,
2013-10,124.651,
2014-01,112.046,Provisional value
2014-04,1650.582,Provisional value
2014-07,14.123,Provisional value
2014-10,26.957,Provisional value
