"",BBFB1.Q.N.DE.US.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:38,
1991-01,-791.030,
1991-04,708.375,
1991-07,556.558,
1991-10,804.027,
1992-01,147.187,
1992-04,236.236,
1992-07,567.816,
1992-10,359.482,
1993-01,490.107,
1993-04,271.970,
1993-07,744.155,
1993-10,133.956,
1994-01,65.543,
1994-04,-14.089,
1994-07,-578.927,
1994-10,1353.285,
1995-01,-33.987,
1995-04,3319.649,
1995-07,473.732,
1995-10,1181.970,
1996-01,2054.207,
1996-04,1381.095,
1996-07,2608.607,
1996-10,6470.079,
1997-01,13935.274,
1997-04,-1965.402,
1997-07,-372.140,
1997-10,-1604.678,
1998-01,12108.330,
1998-04,-4480.648,
1998-07,5873.770,
1998-10,26306.215,
1999-01,11254.140,
1999-04,23768.910,
1999-07,-10251.021,
1999-10,4625.716,
2000-01,19490.665,
2000-04,8368.092,
2000-07,-486.775,
2000-10,4405.422,
2001-01,28676.618,
2001-04,35990.830,
2001-07,-6468.328,
2001-10,-4433.626,
2002-01,-3248.197,
2002-04,-9835.923,
2002-07,3270.063,
2002-10,-8052.301,
2003-01,7427.998,
2003-04,-6979.711,
2003-07,6328.410,
2003-10,-1440.230,
2004-01,-4447.477,
2004-04,2065.071,
2004-07,4434.933,
2004-10,-331.382,
2005-01,5227.337,
2005-04,3453.296,
2005-07,-1858.935,
2005-10,-9045.628,
2006-01,4281.220,
2006-04,6272.733,
2006-07,3365.706,
2006-10,3678.735,
2007-01,-2629.772,
2007-04,1238.980,
2007-07,2379.434,
2007-10,12385.096,
2008-01,-4941.313,
2008-04,4021.075,
2008-07,2847.698,
2008-10,-18460.416,
2009-01,1285.598,
2009-04,-1103.693,
2009-07,912.853,
2009-10,-96.130,
2010-01,7574.039,
2010-04,4194.650,
2010-07,5311.136,
2010-10,-2344.163,
2011-01,2953.327,
2011-04,-1161.529,
2011-07,507.037,
2011-10,884.332,
2012-01,-479.595,
2012-04,-6373.376,
2012-07,-5573.179,
2012-10,6736.368,
2013-01,-5171.310,
2013-04,9459.372,
2013-07,1181.472,
2013-10,-7800.070,
2014-01,-3019.821,Provisional value
2014-04,-49.635,Provisional value
2014-07,-1212.250,Provisional value
2014-10,3339.261,Provisional value
