"",BBK01.OEHI05M,BBK01.OEHI05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:51,
2002-01,0.734,
2002-04,0.716,
2002-07,0.705,
2002-10,0.670,
2003-01,0.670,
2003-04,0.626,
2003-07,0.615,
2003-10,0.598,
2004-01,0.543,
2004-04,0.525,
2004-07,0.559,
2004-10,0.612,
2005-01,0.586,
2005-04,0.569,
2005-07,0.575,
2005-10,0.564,
2006-01,0.523,
2006-04,0.516,
2006-07,0.508,
2006-10,0.521,
2007-01,0.477,
2007-04,0.474,
2007-07,0.474,
2007-10,0.464,
2008-01,0.464,
2008-04,0.526,
2008-07,0.787,
2008-10,0.879,
2009-01,0.880,
2009-04,0.911,
2009-07,0.785,
2009-10,0.893,
2010-01,0.985,
2010-04,1.050,
2010-07,1.035,
2010-10,1.062,
2011-01,1.083,
2011-04,1.148,
2011-07,1.149,
2011-10,1.146,
2012-01,1.129,
2012-04,1.117,
2012-07,1.088,
2012-10,1.071,
2013-01,1.089,
2013-04,1.109,
2013-07,1.122,
2013-10,1.125,
2014-01,1.127,
2014-04,1.125,
2014-07,1.032,
