"",BBFN1.M.DE.N.1.L.CA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:32,
1982-09,0.230,
1982-10,0.236,
1982-11,0.217,
1982-12,0.230,
1983-01,0.221,
1983-02,0.279,
1983-03,0.269,
1983-04,0.265,
1983-05,0.254,
1983-06,0.323,
1983-07,0.317,
1983-08,0.345,
1983-09,0.334,
1983-10,0.325,
1983-11,0.298,
1983-12,0.331,
1984-01,0.350,
1984-02,0.427,
1984-03,0.450,
1984-04,0.446,
1984-05,0.428,
1984-06,0.370,
1984-07,0.344,
1984-08,0.342,
1984-09,0.365,
1984-10,0.393,
1984-11,0.345,
1984-12,0.330,
1985-01,0.190,
1985-02,0.241,
1985-03,0.290,
1985-04,0.223,
1985-05,0.217,
1985-06,0.170,
1985-07,0.132,
1985-08,0.169,
1985-09,0.217,
1985-10,0.171,
1985-11,0.160,
1985-12,0.207,
1986-01,0.277,
1986-02,0.274,
1986-03,0.300,
1986-04,0.275,
1986-05,0.219,
1986-06,0.201,
1986-07,0.196,
1986-08,0.188,
1986-09,0.147,
1986-10,0.185,
1986-11,0.177,
1986-12,0.258,
1987-01,0.170,
1987-02,0.162,
1987-03,0.228,
1987-04,0.234,
1987-05,0.176,
1987-06,0.170,
1987-07,0.198,
1987-08,0.195,
1987-09,0.179,
1987-10,0.162,
1987-11,0.225,
1987-12,0.177,
1988-01,0.162,
1988-02,0.218,
1988-03,0.253,
1988-04,0.235,
1988-05,0.256,
1988-06,0.229,
1988-07,0.178,
1988-08,0.377,
1988-09,0.377,
1988-10,0.354,
1988-11,0.347,
1988-12,0.331,
1989-01,0.341,
1989-02,0.323,
1989-03,0.326,
1989-04,0.375,
1989-05,0.325,
1989-06,0.262,
1989-07,0.229,
1989-08,0.300,
1989-09,0.232,
1989-10,0.234,
1989-11,0.646,
1989-12,0.314,
1990-01,0.209,
1990-02,0.483,
1990-03,0.475,
1990-04,0.458,
1990-05,0.449,
1990-06,0.460,
1990-07,0.460,
1990-08,0.447,
1990-09,0.429,
1990-10,0.133,
1990-11,0.137,
1990-12,0.265,
1991-01,0.126,
1991-02,0.130,
1991-03,0.196,
1991-04,0.209,
1991-05,0.175,
1991-06,0.206,
1991-07,0.129,
1991-08,0.135,
1991-09,0.162,
1991-10,0.149,
1991-11,0.170,
1991-12,0.178,
1992-01,0.124,
1992-02,0.135,
1992-03,0.137,
1992-04,0.146,
1992-05,0.169,
1992-06,0.229,
1992-07,0.214,
1992-08,0.214,
1992-09,0.196,
1992-10,0.182,
1992-11,0.189,
1992-12,0.269,
1993-01,0.174,
1993-02,0.173,
1993-03,0.172,
1993-04,0.163,
1993-05,0.161,
1993-06,0.189,
1993-07,0.244,
1993-08,0.210,
1993-09,0.237,
1993-10,0.232,
1993-11,0.213,
1993-12,0.415,
1994-01,0.339,
1994-02,0.306,
1994-03,0.300,
1994-04,0.323,
1994-05,0.373,
1994-06,0.290,
1994-07,0.263,
1994-08,0.307,
1994-09,0.297,
1994-10,0.364,
1994-11,0.353,
1994-12,0.422,
1995-01,0.203,
1995-02,0.228,
1995-03,0.317,
1995-04,0.238,
1995-05,0.235,
1995-06,0.229,
1995-07,0.219,
1995-08,0.239,
1995-09,0.255,
1995-10,0.268,
1995-11,0.259,
1995-12,0.386,
1996-01,0.228,
1996-02,0.226,
1996-03,0.326,
1996-04,0.277,
1996-05,0.293,
1996-06,0.240,
1996-07,0.250,
1996-08,0.288,
1996-09,0.304,
1996-10,0.253,
1996-11,0.252,
1996-12,0.350,
1997-01,0.183,
1997-02,0.218,
1997-03,0.186,
1997-04,0.220,
1997-05,0.347,
1997-06,0.400,
1997-07,0.426,
1997-08,0.401,
1997-09,0.438,
1997-10,0.449,
1997-11,0.468,
1997-12,0.599,
1998-01,0.457,
1998-02,0.658,
1998-03,0.694,
1998-04,0.584,
1998-05,0.546,
1998-06,0.676,
1998-07,0.592,
1998-08,0.605,
1998-09,0.568,
1998-10,0.561,
1998-11,0.523,
1998-12,0.744,
1999-01,0.898,
1999-02,0.772,
1999-03,0.699,
1999-04,0.822,
1999-05,0.736,
1999-06,0.684,
1999-07,0.679,
1999-08,0.690,
1999-09,0.748,
1999-10,0.784,
1999-11,0.801,
1999-12,0.783,
2000-01,0.835,
2000-02,0.993,
2000-03,1.549,
2000-04,1.397,
2000-05,1.423,
2000-06,1.343,
2000-07,1.342,
2000-08,1.335,
2000-09,1.344,
2000-10,1.392,
2000-11,1.444,
2000-12,1.035,
2001-01,0.999,
2001-02,0.976,
2001-03,1.089,
2001-04,1.199,
2001-05,1.289,
2001-06,1.062,
2001-07,1.002,
2001-08,1.074,
2001-09,1.190,
2001-10,1.127,
2001-11,1.132,
2001-12,0.706,
2002-01,0.677,
2002-02,0.664,
2002-03,0.654,
2002-04,0.649,
2002-05,0.666,
2002-06,0.727,
2002-07,0.730,
2002-08,0.769,
2002-09,0.951,
2002-10,0.933,
2002-11,1.042,
2002-12,1.256,
2003-01,0.762,
2003-02,0.943,
2003-03,0.891,
2003-04,0.831,
2003-05,0.915,
2003-06,1.158,
2003-07,0.977,
2003-08,1.014,
2003-09,1.151,
2003-10,1.118,
2003-11,1.406,
2003-12,1.920,
2004-01,1.190,
2004-02,1.205,
2004-03,1.320,
2004-04,1.330,
2004-05,1.281,
2004-06,1.345,
2004-07,1.403,
2004-08,1.422,
2004-09,1.554,
2004-10,1.597,
2004-11,1.648,
2004-12,1.899,
2005-01,0.964,
2005-02,1.140,
2005-03,1.217,
2005-04,1.182,
2005-05,1.112,
2005-06,1.105,
2005-07,1.161,
2005-08,1.119,
