"",BBEX3.A.KMF.EUR.CA.AC.A04,BBEX3.A.KMF.EUR.CA.AC.A04_FLAGS
"",Exchange rates for the euro in the Comoros / EUR 1 = KMF ...,
unit,KMF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:46,
1999,491.96775,
2000,491.96775,
2001,491.96775,
2002,491.96775,
2003,491.96775,
2004,491.96775,
2005,491.96775,
2006,491.96775,
2007,491.96775,
2008,491.96775,
2009,491.96775,
2010,491.96775,
2011,491.96775,
2012,491.96775,
2013,491.96775,
2014,491.96775,
"",General: Fixed exchange rate to the euro.,
"",Source: Banque Centrale des Comores,
