"",BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:07,
1991-01,327.008,
1991-04,630.628,
1991-07,260.390,
1991-10,207.751,
1992-01,-61.138,
1992-04,793.335,
1992-07,-479.244,
1992-10,154.532,
1993-01,361.016,
1993-04,-143.300,
1993-07,-260.259,
1993-10,-29.585,
1994-01,156.948,
1994-04,13.125,
1994-07,708.283,
1994-10,-81.104,
1995-01,-106.545,
1995-04,-492.612,
1995-07,-115.559,
1995-10,-138.062,
1996-01,430.746,
1996-04,-398.357,
1996-07,-110.407,
1996-10,148.501,
1997-01,574.285,
1997-04,-564.964,
1997-07,198.152,
1997-10,-16.727,
1998-01,2387.061,
1998-04,-1570.746,
1998-07,583.084,
1998-10,1476.847,
1999-01,752.428,
1999-04,1287.832,
1999-07,856.118,
1999-10,29.817,
2000-01,-612.142,
2000-04,1832.039,
2000-07,3085.960,
2000-10,-680.703,
2001-01,453.811,
2001-04,579.142,
2001-07,344.791,
2001-10,81.653,
2002-01,-188.507,
2002-04,832.633,
2002-07,2441.181,
2002-10,-406.737,
2003-01,1616.818,
2003-04,1728.901,
2003-07,-93.480,
2003-10,-1632.463,
2004-01,-213.890,
2004-04,1090.783,
2004-07,218.396,
2004-10,40.955,
2005-01,-506.270,
2005-04,176.874,
2005-07,1043.031,
2005-10,64.435,
2006-01,-7.623,
2006-04,557.306,
2006-07,-361.553,
2006-10,422.412,
2007-01,-1218.080,
2007-04,-108.291,
2007-07,-1602.419,
2007-10,-1823.234,
2008-01,-758.630,
2008-04,-878.987,
2008-07,-427.771,
2008-10,-994.739,
2009-01,341.075,
2009-04,-452.219,
2009-07,-3.177,
2009-10,1248.428,
2010-01,858.790,
2010-04,200.993,
2010-07,-400.648,
2010-10,1414.248,
2011-01,1331.691,
2011-04,890.045,
2011-07,1492.730,
2011-10,670.271,
2012-01,2495.028,
2012-04,1052.003,
2012-07,1255.326,
2012-10,1080.653,
2013-01,274.966,
2013-04,708.561,
2013-07,560.963,
2013-10,1033.737,
2014-01,2107.103,Provisional value
2014-04,645.634,Provisional value
2014-07,774.195,Provisional value
2014-10,1588.906,Provisional value
