"",BBK01.OXA8U5,BBK01.OXA8U5_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from non-MFIs during the reporting period of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:53,
2009-12,-,Nothing exists
2010-01,3.938,
2010-02,-,Nothing exists
2010-03,2.767,
2010-04,-,Nothing exists
2010-05,2.129,
2010-06,2.358,
2010-07,1.659,
2010-08,1.953,
2010-09,1.861,
2010-10,3.937,
2010-11,4.051,
2010-12,1.681,
2011-01,1.539,
2011-02,0.657,
2011-03,1.151,
2011-04,1.397,
2011-05,1.379,
2011-06,1.300,
2011-07,1.788,
2011-08,2.545,
2011-09,2.000,
2011-10,1.511,
2011-11,3.623,
2011-12,1.047,
2012-01,2.231,
2012-02,1.218,
2012-03,0.847,
2012-04,-1.753,
2012-05,1.409,
2012-06,1.157,
2012-07,2.076,
2012-08,2.454,
2012-09,0.647,
2012-10,-1.315,
2012-11,2.515,
2012-12,1.077,
2013-01,1.128,
2013-02,2.180,
2013-03,3.637,
2013-04,1.136,
2013-05,2.202,
2013-06,3.983,
2013-07,2.297,
2013-08,0.898,
2013-09,0.935,
2013-10,2.170,
2013-11,3.334,
2013-12,1.148,
2014-01,1.064,
2014-02,0.491,
2014-03,3.925,
2014-04,3.014,
2014-05,3.824,
2014-06,1.579,
2014-07,1.303,
2014-08,2.125,
2014-09,5.865,
2014-10,3.264,
2014-11,2.011,
2014-12,1.776,Provisional value
