"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.P.F3.S._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Liabilities - Positions - resident issuer: General government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:34,
1999-10,7410,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,7556,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,14261,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,20974,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,26037,
2004-01,25192,
2004-04,24237,
2004-07,24902,
2004-10,24587,
2005-01,29149,
2005-04,24891,
2005-07,25964,
2005-10,27625,
2006-01,27438,
2006-04,26569,
2006-07,26801,
2006-10,25864,
2007-01,25988,
2007-04,24146,
2007-07,24238,
2007-10,24898,
2008-01,26081,
2008-04,29137,
2008-07,33693,
2008-10,34382,
2009-01,56013,
2009-04,85815,
2009-07,93314,
2009-10,92855,
2010-01,83106,
2010-04,66689,
2010-07,69324,
2010-10,72855,
2011-01,79788,
2011-04,88189,
2011-07,93052,
2011-10,84392,
2012-01,93722,
2012-04,95542,
2012-07,89940,
2012-10,94746,
2013-01,92600,
2013-04,90867,
2013-07,81319,
2013-10,73188,
2014-01,70312,
2014-04,63169,
2014-07,62082,
