"",BBK01.OELB07H,BBK01.OELB07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:21,
2002-01,7.541,
2002-04,7.344,
2002-07,7.218,
2002-10,6.996,
2003-01,6.708,
2003-04,6.524,
2003-07,6.402,
2003-10,6.259,
2004-01,6.105,
2004-04,6.029,
2004-07,5.945,
2004-10,6.217,
2005-01,6.049,
2005-04,6.021,
2005-07,6.034,
2005-10,6.031,
2006-01,5.894,
2006-04,5.918,
2006-07,5.928,
2006-10,5.829,
2007-01,5.718,
2007-04,5.686,
2007-07,5.688,
2007-10,5.578,
2008-01,5.475,
2008-04,5.479,
2008-07,5.475,
2008-10,5.463,
2009-01,5.529,
2009-04,5.546,
2009-07,5.729,
2009-10,5.849,
2010-01,5.790,
2010-04,5.914,
2010-07,6.009,
2010-10,6.014,
2011-01,6.028,
2011-04,6.150,
2011-07,6.289,
2011-10,6.381,
2012-01,6.437,
2012-04,6.402,
2012-07,6.460,
2012-10,6.535,
2013-01,6.563,
2013-04,6.729,
2013-07,6.904,
2013-10,6.942,
2014-01,6.910,
2014-04,6.964,
2014-07,7.107,
