"",BBK01.OEAB07I,BBK01.OEAB07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:41,
2002-01,5.365,
2002-04,5.487,
2002-07,5.189,
2002-10,4.977,
2003-01,4.988,
2003-04,5.626,
2003-07,5.047,
2003-10,4.778,
2004-01,4.768,
2004-04,4.709,
2004-07,4.730,
2004-10,5.025,
2005-01,5.259,
2005-04,5.425,
2005-07,5.323,
2005-10,5.157,
2006-01,5.317,
2006-04,5.369,
2006-07,5.848,
2006-10,5.814,
2007-01,5.572,
2007-04,6.598,
2007-07,6.352,
2007-10,5.582,
2008-01,5.954,
2008-04,6.556,
2008-07,6.879,
2008-10,7.492,
2009-01,7.458,
2009-04,9.514,
2009-07,11.819,
2009-10,12.041,
2010-01,12.284,
2010-04,12.105,
2010-07,10.981,
2010-10,11.387,
2011-01,13.897,
2011-04,13.410,
2011-07,12.446,
2011-10,12.692,
2012-01,12.745,
2012-04,12.663,
2012-07,12.104,
2012-10,12.502,
2013-01,12.132,
2013-04,12.672,
2013-07,11.619,
2013-10,11.379,
2014-01,11.659,
2014-04,11.123,
2014-07,11.270,
