"",BBK01.OEAH93M,BBK01.OEAH93M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:09,
2002-01,0.009,
2002-04,0.010,
2002-07,0.010,
2002-10,0.009,
2003-01,0.008,
2003-04,0.009,
2003-07,0.009,
2003-10,0.009,
2004-01,0.009,
2004-04,0.008,
2004-07,0.008,
2004-10,0.017,
2005-01,0.017,
2005-04,0.018,
2005-07,0.037,
2005-10,0.027,
2006-01,0.028,
2006-04,0.031,
2006-07,0.012,
2006-10,0.023,
2007-01,0.030,
2007-04,0.033,
2007-07,0.045,
2007-10,0.049,
2008-01,0.051,
2008-04,0.053,
2008-07,0.057,
2008-10,0.061,
2009-01,0.060,
2009-04,0.054,
2009-07,0.045,
2009-10,0.041,
2010-01,0.038,
2010-04,0.035,
2010-07,0.025,
2010-10,0.028,
2011-01,0.027,
2011-04,0.027,
2011-07,0.028,
2011-10,0.028,
2012-01,0.025,
2012-04,0.027,
2012-07,0.027,
2012-10,0.024,
2013-01,0.019,
2013-04,0.016,
2013-07,0.014,
2013-10,0.012,
2014-01,0.011,
2014-04,0.010,
2014-07,0.007,
