"",BBDL1.M.DE1.N.UNE.UBA000.A0000.A01.D00.0.ABA.A,BBDL1.M.DE1.N.UNE.UBA000.A0000.A01.D00.0.ABA.A_FLAGS
"",Unemployment registered pursuant to section 16 Social Security Code III / West Germany / Social Security Code III and Social Security Code II / Absolute value / Unadjusted figure,
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:07,
1950-01,2200486,
1950-02,2288368,
1950-03,2155962,
1950-04,2074220,
1950-05,1942134,
1950-06,1808534,
1950-07,1739507,
1950-08,1635604,
1950-09,1566588,
1950-10,1508348,
1950-11,1595491,
1950-12,1976461,
1951-01,2113553,
1951-02,1948422,
1951-03,1850960,
1951-04,1736166,
1951-05,1673661,
1951-06,1611908,
1951-07,1584067,
1951-08,1543866,
1951-09,1502799,
1951-10,1476741,
1951-11,1570796,
1951-12,1931002,
1952-01,2106836,
1952-02,2172973,
1952-03,1848101,
1952-04,1728250,
1952-05,1602178,
1952-06,1534867,
1952-07,1431499,
1952-08,1372614,
1952-09,1309563,
1952-10,1276009,
1952-11,1496764,
1952-12,1955635,
1953-01,2081227,
1953-02,2060651,
1953-03,1631613,
1953-04,1479538,
1953-05,1400709,
1953-06,1312201,
1953-07,1237767,
1953-08,1186715,
1953-09,1148914,
1953-10,1169558,
1953-11,1331378,
1953-12,1747757,
1954-01,2217243,
1954-02,2275347,
1954-03,1629817,
1954-04,1473474,
1954-05,1299533,
1954-06,1198475,
1954-07,1109003,
1954-08,1042697,
1954-09,982184,
1954-10,977389,
1954-11,1117323,
1954-12,1464489,
1955-01,1975159,
1955-02,2000102,
1955-03,1578827,
1955-04,1047886,
1955-05,876414,
1955-06,790579,
1955-07,692089,
1955-08,630088,
1955-09,610855,
1955-10,627627,
1955-11,728116,
1955-12,1185850,
1956-01,1390335,
1956-02,1982469,
1956-03,1158631,
1956-04,754433,
1956-05,653274,
1956-06,586675,
1956-07,529246,
1956-08,503216,
1956-09,501687,
1956-10,516321,
1956-11,744959,
1956-12,1202533,
1957-01,1601562,
1957-02,1222789,
1957-03,804115,
1957-04,690039,
1957-05,587952,
1957-06,544987,
1957-07,467085,
1957-08,435506,
1957-09,436205,
1957-10,435751,
1957-11,557143,
1957-12,1320321,
1958-01,1533557,
1958-02,1418192,
1958-03,1201913,
1958-04,678161,
1958-05,556518,
1958-06,481151,
1958-07,422220,
1958-08,393066,
1958-09,387484,
1958-10,421322,
1958-11,497959,
1958-12,1022634,
1959-01,1445508,
1959-02,1203311,
1959-03,667087,
1959-04,466799,
1959-05,386004,
1959-06,314389,
1959-07,258048,
1959-08,235253,
1959-09,223206,
1959-10,235428,
1959-11,273606,
1959-12,512409,
1960-01,684297,
1960-02,581440,
1960-03,297704,
1960-04,225051,
1960-05,184564,
1960-06,162558,
1960-07,140701,
1960-08,132931,
1960-09,130861,
1960-10,142001,
1960-11,158424,
1960-12,302812,
1961-01,422744,
1961-02,321910,
1961-03,187840,
1961-04,153046,
1961-05,130587,
1961-06,115126,
1961-07,107704,
1961-08,111304,
1961-09,107883,
1961-10,112935,
1961-11,127792,
1961-12,239975,
1962-01,286398,
1962-02,273789,
1962-03,205467,
1962-04,135430,
1962-05,109403,
1962-06,97466,
1962-07,93939,
1962-08,91344,
1962-09,91383,
1962-10,101984,
1962-11,131356,
1962-12,232653,
1963-01,410047,
1963-02,416889,
1963-03,216323,
1963-04,143659,
1963-05,124037,
1963-06,112083,
1963-07,106111,
1963-08,104243,
1963-09,104507,
1963-10,114335,
1963-11,133024,
1963-12,252329,
1964-01,337497,
1964-02,304690,
1964-03,227188,
1964-04,146634,
1964-05,126654,
1964-06,112166,
1964-07,105399,
1964-08,102835,
1964-09,100266,
1964-10,111462,
1964-11,126844,
1964-12,202086,
1965-01,286334,
1965-02,291236,
1965-03,200978,
1965-04,126862,
1965-05,106541,
1965-06,95419,
1965-07,89018,
1965-08,85677,
1965-09,84974,
1965-10,92231,
1965-11,118962,
1965-12,177908,
1966-01,268848,
1966-02,235816,
1966-03,141428,
1966-04,121288,
1966-05,107743,
1966-06,100697,
1966-07,101476,
1966-08,105743,
1966-09,112726,
1966-10,145804,
1966-11,216382,
1966-12,371623,
1967-01,621156,
1967-02,673572,
1967-03,576047,
1967-04,501303,
1967-05,458461,
1967-06,400773,
1967-07,377235,
1967-08,359473,
1967-09,341078,
1967-10,360846,
1967-11,395004,
1967-12,526218,
1968-01,672617,
1968-02,589707,
1968-03,459853,
1968-04,330851,
1968-05,264674,
1968-06,226552,
1968-07,202689,
1968-08,187778,
1968-09,174467,
1968-10,180223,
1968-11,196056,
1968-12,266372,
1969-01,368585,
1969-02,374124,
1969-03,243212,
1969-04,155181,
1969-05,122967,
1969-06,110744,
1969-07,108018,
1969-08,103753,
1969-09,100477,
1969-10,107770,
1969-11,118849,
1969-12,192174,
1970-01,286266,
1970-02,264080,
1970-03,197784,
1970-04,120550,
1970-05,103407,
1970-06,94767,
1970-07,98562,
1970-08,99460,
1970-09,97338,
1970-10,110849,
1970-11,129476,
1970-12,175058,
1971-01,286171,
1971-02,254753,
1971-03,206472,
1971-04,160356,
1971-05,142890,
1971-06,135157,
1971-07,141957,
1971-08,145835,
1971-09,146740,
1971-10,170111,
1971-11,207990,
1971-12,269810,
1972-01,375564,
1972-02,368952,
1972-03,268461,
1972-04,231219,
1972-05,208289,
1972-06,190224,
1972-07,196774,
1972-08,198266,
1972-09,194660,
1972-10,214880,
1972-11,235379,
1972-12,279237,
1973-01,356352,
1973-02,347053,
1973-03,286576,
1973-04,240734,
1973-05,211276,
1973-06,200950,
1973-07,216616,
1973-08,221905,
1973-09,219271,
1973-10,266969,
1973-11,331839,
1973-12,485631,
1974-01,620494,
1974-02,620154,
1974-03,561762,
1974-04,517365,
1974-05,456965,
1974-06,450684,
1974-07,490894,
1974-08,527051,
1974-09,556981,
1974-10,672312,
1974-11,799337,
1974-12,945916,
1975-01,1154295,
1975-02,1183501,
1975-03,1114048,
1975-04,1087078,
1975-05,1017716,
1975-06,1002135,
1975-07,1035235,
1975-08,1031122,
1975-09,1005495,
1975-10,1061128,
1975-11,1114190,
1975-12,1223396,
1976-01,1350990,
1976-02,1346723,
1976-03,1190159,
